ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
453,Formation Test - Développement Web Avancé,24283,Test Formateur,2025-06-09,159,3
454,Formation Test - Cybersécurité Fondamentale,24283,Test Formateur,2025-04-20,90,3
455,Formation Test - Développement Web Avancé,24283,Test Formateur,2025-05-12,77,3
456,Formation Test - Cybersécurité Fondamentale,24283,Test Formateur,2025-05-07,121,3
457,ITIL 4 Foundation - Gestion des Services IT,24329,Jamel Kchir,2025-04-06,80,3
458,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",24315,Mariam Guizani,2025-05-12,86,4
459,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",24422,Ridha Kchir,2025-02-23,113,4
460,"ITIL 4 Strategist: Direct, Plan and Improve",24358,Aymen Ferchichi,2024-12-27,117,4
461,DevOps Foundation,24398,Samir Ghorbel,2025-05-16,82,5
462,AWS Certified Solutions Architect - Associate,24319,Bilel Daoud,2025-02-01,83,3
463,Microsoft Azure Administrator,24345,Noureddine Hadj,2025-03-08,85,4
464,Google Cloud Professional Cloud Architect,24307,Karim Kammoun,2025-04-07,85,4
465,Scrum Master Certified,24359,Samir Omrani,2024-12-26,89,5
466,Project Management Professional (PMP),24381,Omar Marzouki,2025-01-29,90,5
467,Certified Information Systems Security Professional (CISSP),24380,Sabrine Daoud,2025-01-17,93,4
468,Data Science avec Python,24431,Khaled Kammoun,2025-02-03,117,3
469,Blockchain pour les entreprises,24295,Khadija Ferchichi,2025-04-14,61,4
470,Intelligence Artificielle pour managers,24346,Bochra Horchani,2025-05-10,59,4
471,Cybersécurité opérationnelle,24309,Moez Mestiri,2025-04-15,78,3
