ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
19051,24282,Test Apprenant,Formation Test - Développement Web Avancé,5,5,5,4,4,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
19052,24282,Test Apprenant,Formation Test - Développement Web Avancé,4,3,5,5,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19053,24282,Test Apprenant,Formation Test - Développement Web Avancé,5,3,5,4,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
19054,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,3,5,5,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
19055,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,5,3,3,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19056,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,3,5,5,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
19057,24282,Test Apprenant,Formation Test - Développement Web Avancé,3,5,3,4,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19058,24282,Test Apprenant,Formation Test - Développement Web Avancé,4,5,4,4,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
19059,24282,Test Apprenant,Formation Test - Développement Web Avancé,3,5,5,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
19060,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,4,5,5,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19061,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,3,5,4,4,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19062,24282,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,5,5,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
19063,24498,Ridha Mestiri,ITIL 4 Foundation - Gestion des Services IT,3,3,3,5,5,4,"Contenu bien structuré, formateur compétent."
19064,24811,Mohamed Hamza,ITIL 4 Foundation - Gestion des Services IT,3,4,4,3,3,4,"Contenu bien structuré, formateur compétent."
19065,25142,Bochra Ferchichi,ITIL 4 Foundation - Gestion des Services IT,5,3,3,4,4,3,"Contenu bien structuré, formateur compétent."
19066,24282,Test Apprenant,ITIL 4 Foundation - Gestion des Services IT,5,3,3,5,5,5,"Contenu bien structuré, formateur compétent."
19067,24702,Ines Karray,ITIL 4 Foundation - Gestion des Services IT,5,5,4,3,4,4,Formation très intéressante et enrichissante.
19068,24606,Thouraya Ghanmi,ITIL 4 Foundation - Gestion des Services IT,4,3,3,4,4,3,"Contenu bien structuré, formateur compétent."
19069,24832,Imed Ferjani,ITIL 4 Foundation - Gestion des Services IT,5,3,5,5,3,5,"Contenu bien structuré, formateur compétent."
19070,24835,Jamel Mejri,ITIL 4 Foundation - Gestion des Services IT,3,4,5,4,3,3,Formation très intéressante et enrichissante.
19071,24652,Zohra Jouini,ITIL 4 Foundation - Gestion des Services IT,4,4,4,4,4,3,"Contenu bien structuré, formateur compétent."
19072,24777,Hiba Jelassi,ITIL 4 Foundation - Gestion des Services IT,3,4,5,3,4,3,"Contenu bien structuré, formateur compétent."
