ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
8130,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-01-15,"Développement web, Cloud computing"
8131,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-10-27,"Gestion de projet, DevOps"
8132,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-03-12,"IT Governance, Formation professionnelle"
8133,Bassem Rekik,bassem.rekik103@gmail.com,formateur,+21622282405,Tunisie,Sousse,1970-04-27,"Stratégie d'entreprise, Finance, Intelligence artificielle, Lean management, Communication, Analyse de données"
8134,Slim Gasmi,slim.gasmi58@gmail.com,formateur,+21625574467,Tunisie,Monastir,1971-02-15,"Finance, Stratégie d'entreprise, E-commerce, Lean management, Analyse de données"
8135,Ahlem Hamza,ahlem.hamza133@outlook.com,formateur,+21626186520,Tunisie,Béja,1960-02-25,"Blockchain, Gestion de projet, Ressources humaines"
8136,Rami Hadj,rami.hadj988@gmail.com,formateur,+21629714812,Tunisie,Le Kef,1985-01-02,"Communication, Machine learning, Finance, Intelligence artificielle, Agile, Cloud computing"
8137,Salah Meddeb,salah.meddeb738@hotmail.com,formateur,+21654194221,Tunisie,Tataouine,1987-05-24,"Coaching, Stratégie d'entreprise"
8138,Rim Hamdi,rim.hamdi220@live.com,formateur,+21652374350,Tunisie,Sidi Bouzid,1961-06-16,"Digital transformation, Gestion de projet, Agile, Machine learning"
8139,Kais Dridi,kais.dridi168@topnet.tn,formateur,+21621814299,Tunisie,Nabeul,1989-07-26,"Agile, Technologie, Communication, Finance, DevOps"
8140,Marwan Chihaoui,marwan.chihaoui200@laposte.net,formateur,+21624403956,Tunisie,Ariana,1965-09-16,"Innovation, Coaching, Entrepreneuriat, IoT, Développement web"
8141,Hana Ghorbel,hana.ghorbel478@live.com,formateur,+21650296263,Tunisie,Mahdia,1987-03-11,"Veille technologique, Stratégie d'entreprise"
8142,Wael Hamdi,wael.hamdi282@orange.tn,formateur,+21628515037,Tunisie,Kasserine,1986-01-31,"Certification, IoT, Communication, Agile"
8143,Hajer Ben Ahmed,hajer.ben.ahmed409@topnet.tn,formateur,+21657516547,Tunisie,Monastir,1964-01-18,"Gestion de projet, Veille technologique, Informatique"
8144,Besma Meddeb,besma.meddeb422@gmail.com,formateur,+21691739800,Tunisie,Ariana,1971-11-30,"Entrepreneuriat, Innovation, Développement web, Machine learning"
8145,Dorra Ben Ahmed,dorra.ben.ahmed386@yahoo.fr,formateur,+21696250856,Tunisie,Béja,1982-05-23,"Audit, Cloud computing, Blockchain, Marketing digital, Finance"
8146,Taoufik Nabli,taoufik.nabli587@gmail.com,formateur,+21653716699,Tunisie,Le Kef,1988-03-12,"Business intelligence, Cybersécurité, Qualité"
8147,Hichem Hadj,hichem.hadj370@hotmail.com,formateur,+21698984795,Tunisie,Nabeul,1995-04-10,"Informatique, Innovation, Certification, Conseil"
8148,Cyrine Louati,cyrine.louati582@outlook.com,formateur,+21625532793,Tunisie,Jendouba,1961-08-17,"Certification, Développement web, Intelligence artificielle"
8149,Kais Landolsi,kais.landolsi606@laposte.net,formateur,+21624585021,Tunisie,Béja,1986-05-17,"Qualité, Leadership"
8150,Lamia Dridi,lamia.dridi327@hotmail.com,formateur,+21653259927,Tunisie,Mahdia,1978-02-20,"Blockchain, Veille technologique, Analyse de données"
8151,Walid Fatnassi,walid.fatnassi263@live.com,formateur,+21628426719,Tunisie,Nabeul,1961-03-13,"Cloud computing, Coaching, Audit, Informatique"
8152,Maroua Dhouib,maroua.dhouib242@live.com,formateur,+21695867042,Tunisie,Jendouba,1986-07-17,"Analyse de données, Stratégie d'entreprise, Digital transformation, Blockchain"
8153,Ines Gabsi,ines.gabsi347@live.com,formateur,+21628091019,Tunisie,Monastir,1978-12-13,"Technologie, Intelligence artificielle, Management, Marketing digital"
8154,Myriam Horchani,myriam.horchani111@gmail.com,formateur,+21658151772,Tunisie,Monastir,1995-04-02,"Lean management, Qualité"
8155,Ali Hachicha,ali.hachicha261@laposte.net,formateur,+21698211854,Tunisie,Monastir,1972-04-16,"Blockchain, IoT, Management, Gestion de projet, Analyse de données, Stratégie d'entreprise"
8156,Ahlem Fourati,ahlem.fourati33@orange.tn,formateur,+21652772695,Tunisie,Béja,1970-07-16,"Coaching, E-commerce, Analyse de données, Communication"
8157,Hana Rekik,hana.rekik851@hotmail.com,formateur,+21628684796,Tunisie,Kébili,1974-11-11,"Cybersécurité, Innovation, Gestion de projet, Lean management, Management"
8158,Ridha Jebali,ridha.jebali667@hotmail.com,formateur,+21691006832,Tunisie,Tunis,1983-10-12,"Digital transformation, Technologie, Management, DevOps"
8159,Khaled Khedher,khaled.khedher490@gmail.com,formateur,+21624754940,Tunisie,Zaghouan,1966-12-03,"DevOps, Finance, Mentoring"
8160,Fadia Fkih,fadia.fkih66@gmail.com,formateur,+21628459778,Tunisie,Sfax,1988-09-24,"Leadership, Intelligence artificielle, Qualité, Cybersécurité, Innovation, ITIL"
8161,Hana Horchani,hana.horchani566@hotmail.com,formateur,+21659648567,Tunisie,Sfax,1988-10-09,"Audit, Digital transformation, Agile"
8162,Nader Nabli,nader.nabli338@laposte.net,formateur,+21692172899,Tunisie,Siliana,1961-07-27,"Coaching, Blockchain, Informatique, Communication, Innovation"
8163,Taoufik Ghorbel,taoufik.ghorbel871@orange.tn,formateur,+21695700199,Tunisie,Mahdia,1970-03-22,"Gestion de projet, Leadership"
8164,Khadija Feriani,khadija.feriani937@yahoo.fr,formateur,+21650617154,Tunisie,Bizerte,1970-10-02,"Ressources humaines, Agile, Lean management, Gestion de projet"
8165,Nesrine Bouzid,nesrine.bouzid413@topnet.tn,formateur,+21650814833,Tunisie,Ben Arous,1981-09-08,"DevOps, Formation professionnelle"
8166,Slim Rekik,slim.rekik307@outlook.com,formateur,+21621538331,Tunisie,Médenine,1966-08-10,"Qualité, Entrepreneuriat, DevOps"
8167,Hatem Miled,hatem.miled244@laposte.net,formateur,+21622344048,Tunisie,Siliana,1961-11-03,"Gestion de projet, Informatique, Veille technologique"
