ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
19644,Zeineb Hmida,zeineb.hmida328@orange.tn,apprenant,+21657720059,Tunisie,Béja,2001-06-20,"Gestion de projet, Blockchain, Veille technologique, Communication"
19645,Farah Maaloul,farah.maaloul922@live.com,apprenant,+21657178888,Tunisie,Manouba,1999-06-04,"Formation professionnelle, Digital transformation, Marketing digital"
19646,Tarek Hachicha,tarek.hachicha679@yahoo.fr,apprenant,+21622957251,Tunisie,Kébili,1998-03-20,"Cloud computing, Mentoring"
19647,Hiba Hadj,hiba.hadj45@gmail.com,apprenant,+21699047006,Tunisie,Sousse,1999-02-07,"Analyse de données, Stratégie d'entreprise, Conseil, Cybersécurité, Coaching, Innovation"
19648,Sami Kchir,sami.kchir530@live.com,apprenant,+21657469219,Tunisie,Kébili,2002-10-09,"Cloud computing, Technologie, Coaching, Gestion de projet, Analyse de données, Finance"
19649,Fatma Trabelsi,fatma.trabelsi857@hotmail.com,apprenant,+21659053808,Tunisie,Mahdia,1999-08-27,"Lean management, Analyse de données, Management, Mentoring, Marketing digital"
19650,Kenza Louati,kenza.louati514@outlook.com,apprenant,+21626302435,Tunisie,Gabès,1999-09-21,"Informatique, Mentoring, Leadership, E-commerce"
19651,Ghazi Hadj,ghazi.hadj461@yahoo.fr,apprenant,+21654717326,Tunisie,Béja,1987-03-12,"E-commerce, Développement web"
19652,Bassem Derbali,bassem.derbali294@gmail.com,apprenant,+21694206443,Tunisie,Gafsa,1998-09-03,"Lean management, Gestion de projet, Veille technologique, Développement web"
19653,Tarek Gabsi,tarek.gabsi996@gmail.com,apprenant,+21697553532,Tunisie,Gabès,2003-05-12,"Qualité, Entrepreneuriat, Analyse de données"
19654,Fethi Fatnassi,fethi.fatnassi789@topnet.tn,apprenant,+21693766096,Tunisie,Gafsa,1989-03-27,"Veille technologique, Blockchain, Coaching, Gestion de projet, E-commerce"
19655,Dali Mrad,dali.mrad636@laposte.net,apprenant,+21659849539,Tunisie,Siliana,1988-03-14,"Stratégie d'entreprise, Business intelligence"
19656,Rim Derbali,rim.derbali75@yahoo.fr,apprenant,+21622865791,Tunisie,Tunis,1986-02-15,"Développement web, DevOps, Informatique, Cybersécurité, Management"
19657,Rania Ouali,rania.ouali21@laposte.net,apprenant,+21695158578,Tunisie,Siliana,1986-12-07,"Formation professionnelle, Stratégie d'entreprise, Audit, Machine learning, Digital transformation, Blockchain"
19658,Nabil Kammoun,nabil.kammoun878@gmail.com,apprenant,+21697239388,Tunisie,Siliana,1996-05-18,"Cybersécurité, Coaching, Digital transformation, Lean management"
19659,Wassim Kchir,wassim.kchir159@hotmail.com,apprenant,+21691997747,Tunisie,Kébili,2006-09-24,"Innovation, Ressources humaines"
19660,Ahlem Horchani,ahlem.horchani606@live.com,apprenant,+21623204083,Tunisie,Siliana,1996-09-08,"Digital transformation, Communication, Blockchain, Stratégie d'entreprise, Ressources humaines"
19661,Karim Limam,karim.limam725@hotmail.com,apprenant,+21624021381,Tunisie,Sousse,2003-11-08,"Marketing digital, Management, Informatique, Technologie, Analyse de données, Blockchain"
19662,Ridha Ktari,ridha.ktari891@outlook.com,apprenant,+21697506771,Tunisie,Le Kef,1992-06-07,"Technologie, Ressources humaines, Marketing digital, Formation professionnelle"
19663,Moncef Bouaziz,moncef.bouaziz126@yahoo.fr,apprenant,+21629337285,Tunisie,Ariana,1997-11-26,"Certification, Leadership"
18511,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-03-17,"Développement web, Cloud computing"
18512,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-01-14,"Gestion de projet, DevOps"
18513,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-04-06,"IT Governance, Formation professionnelle"
18514,Kais Chedly,kais.chedly584@hotmail.com,formateur,+21655985005,Tunisie,Manouba,1986-09-13,"Développement web, Innovation"
18515,Thouraya Nabli,thouraya.nabli269@orange.tn,formateur,+21654608950,Tunisie,Le Kef,1974-10-17,"Analyse de données, Informatique, Intelligence artificielle, Gestion de projet, Cloud computing, Qualité"
18516,Emna Ferjani,emna.ferjani843@yahoo.fr,formateur,+21697432774,Tunisie,Monastir,1963-12-20,"Informatique, Conseil, Développement web, Veille technologique, E-commerce, Gestion de projet"
18517,Zohra Chaieb,zohra.chaieb255@topnet.tn,formateur,+21657592163,Tunisie,Kébili,1961-08-07,"Digital transformation, Management, Développement web, Innovation, Entrepreneuriat, Finance"
18518,Jihene Khlif,jihene.khlif790@hotmail.com,formateur,+21691149137,Tunisie,Gabès,1967-11-23,"Marketing digital, Innovation, Digital transformation, Mentoring, Ressources humaines"
18519,Mehdi Hmida,mehdi.hmida517@laposte.net,formateur,+21628675951,Tunisie,Zaghouan,1987-03-16,"Leadership, Agile, Conseil, E-commerce, Développement web"
18520,Sofiane Jouini,sofiane.jouini215@yahoo.fr,formateur,+21658365928,Tunisie,Gafsa,1980-02-06,"Audit, Cybersécurité, Technologie, Lean management, Conseil, Veille technologique"
18521,Besma Ezzine,besma.ezzine735@orange.tn,formateur,+21626979637,Tunisie,Jendouba,1989-07-14,"Technologie, Management"
18522,Marwan Benhassan,marwan.benhassan750@outlook.com,formateur,+21699741172,Tunisie,Mahdia,1964-01-15,"Lean management, Digital transformation, Technologie"
18523,Aymen Jazi,aymen.jazi231@live.com,formateur,+21651869773,Tunisie,Kairouan,1994-02-22,"IoT, Agile, Communication, Blockchain"
18524,Takwa Guizani,takwa.guizani82@gmail.com,formateur,+21658995251,Tunisie,Tunis,1992-09-14,"Mentoring, Business intelligence, Veille technologique"
18525,Mariam Guesmi,mariam.guesmi570@live.com,formateur,+21659949746,Tunisie,Tozeur,1976-06-01,"ITIL, Agile, Mentoring, Conseil, DevOps, Innovation"
18526,Wael Jebali,wael.jebali109@topnet.tn,formateur,+21694438126,Tunisie,Gabès,1965-06-01,"Audit, IoT, DevOps, Marketing digital"
18527,Nesrine Meddeb,nesrine.meddeb96@yahoo.fr,formateur,+21624342039,Tunisie,Monastir,1966-07-11,"Ressources humaines, Mentoring"
18528,Bochra Rekik,bochra.rekik809@laposte.net,formateur,+21650202714,Tunisie,Monastir,1962-12-23,"Marketing digital, Finance"
18529,Kais Sellami,kais.sellami842@hotmail.com,formateur,+21622925214,Tunisie,Tozeur,1960-09-04,"Développement web, Informatique, IoT, Marketing digital, Cybersécurité"
18530,Takwa Jemli,takwa.jemli209@hotmail.com,formateur,+21628945760,Tunisie,Kasserine,1969-05-27,"Informatique, Marketing digital, Management, Lean management, Mentoring, ITIL"
18531,Kais Omrani,kais.omrani952@hotmail.com,formateur,+21659633862,Tunisie,Sfax,1995-04-03,"Formation professionnelle, Management, Intelligence artificielle, Coaching"
18532,Zied Ezzine,zied.ezzine165@outlook.com,formateur,+21621725455,Tunisie,Sidi Bouzid,1984-02-11,"Mentoring, Management"
18533,Lamia Gharbi,lamia.gharbi530@yahoo.fr,formateur,+21621777689,Tunisie,Kasserine,1976-05-07,"DevOps, Management, Machine learning, Conseil"
