ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
156,Formation Test - Développement Web Avancé,6978,Test Formateur,2025-04-06,1,3
157,Formation Test - Cybersécurité Fondamentale,6978,Test Formateur,2025-04-14,1,3
158,Formation Test - Développement Web Avancé,6978,Test Formateur,2025-03-25,1,3
159,Formation Test - Cybersécurité Fondamentale,6978,Test Formateur,2025-04-02,1,3
160,ITIL 4 Foundation - Gestion des Services IT,7069,Youssef Ferjani,2025-05-06,18,5
161,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",7025,Youssef Labidi,2025-02-18,16,5
162,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",6990,Youssef Ferjani,2025-04-27,16,3
163,"ITIL 4 Strategist: Direct, Plan and Improve",7012,Mehdi Ben Salah,2025-02-04,21,3
164,DevOps Foundation,6985,Dorsaf Maaloul,2024-12-30,19,4
165,AWS Certified Solutions Architect - Associate,7002,Amine Hadj,2024-12-19,25,4
166,Microsoft Azure Administrator,7060,Nabil Layouni,2024-12-30,16,4
167,Google Cloud Professional Cloud Architect,7129,Emad Neffati,2025-02-07,25,3
168,Scrum Master Certified,7098,Nour Trabelsi,2025-01-05,19,3
169,Project Management Professional (PMP),7078,Yasmine Mansouri,2024-12-29,19,3
170,Certified Information Systems Security Professional (CISSP),7056,Ghada Bouaziz,2025-02-09,23,5
171,Data Science avec Python,7004,Najoua Mrad,2025-03-16,21,3
172,Blockchain pour les entreprises,7003,Dalila Ben Salah,2025-03-03,25,3
173,Intelligence Artificielle pour managers,7052,Latifa Fkih,2025-04-24,16,5
174,Cybersécurité opérationnelle,7036,Maher Mestiri,2025-06-04,17,5
