ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
6977,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-08-25,"Développement web, Cloud computing"
6978,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-03-20,"Gestion de projet, DevOps"
6979,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-06-22,"IT Governance, Formation professionnelle"
6980,Amira Limam,amira.limam449@gmail.com,formateur,+21655895960,Tunisie,Kairouan,1981-07-01,"Informatique, Analyse de données, Audit"
6981,Noureddine Bouaziz,noureddine.bouaziz512@live.com,formateur,+21628255233,Tunisie,Kairouan,1973-07-08,"Certification, Stratégie d'entreprise, ITIL, Audit"
6982,Bochra Ben Salah,bochra.ben.salah211@orange.tn,formateur,+21696634592,Tunisie,Nabeul,1961-07-18,"Développement web, Digital transformation, Certification"
6983,Mariam Kammoun,mariam.kammoun20@orange.tn,formateur,+21651055249,Tunisie,Mahdia,1993-10-14,"Lean management, Finance, Innovation"
6984,Najoua Fourati,najoua.fourati182@live.com,formateur,+21655460092,Tunisie,Gabès,1962-08-15,"Audit, Digital transformation, Gestion de projet, Intelligence artificielle, Formation professionnelle"
6985,Dorsaf Maaloul,dorsaf.maaloul335@yahoo.fr,formateur,+21691354993,Tunisie,Sousse,1973-06-17,"Finance, Stratégie d'entreprise, Management, Mentoring"
6986,Lobna Mejri,lobna.mejri654@outlook.com,formateur,+21691639023,Tunisie,Ariana,1966-08-07,"Business intelligence, Gestion de projet, Intelligence artificielle"
6987,Intissar Dridi,intissar.dridi750@laposte.net,formateur,+21654707715,Tunisie,Béja,1982-03-16,"E-commerce, Conseil"
6988,Wassim Ben Salah,wassim.ben.salah443@yahoo.fr,formateur,+21698300440,Tunisie,Ben Arous,1964-10-02,"Analyse de données, Stratégie d'entreprise, Cloud computing, Innovation"
6989,Zied Louati,zied.louati30@laposte.net,formateur,+21657568896,Tunisie,Kairouan,1986-03-03,"Cloud computing, Agile, DevOps, Veille technologique, Lean management"
6990,Youssef Ferjani,youssef.ferjani355@laposte.net,formateur,+21656874591,Tunisie,Tozeur,1989-08-21,"Technologie, Analyse de données, Formation professionnelle, Management, Marketing digital, Finance"
6991,Mohamed Hassen,mohamed.hassen955@topnet.tn,formateur,+21657149644,Tunisie,Zaghouan,1960-01-17,"Digital transformation, Communication, Cybersécurité, Intelligence artificielle, E-commerce, Cloud computing"
6992,Slim Derbali,slim.derbali177@hotmail.com,formateur,+21657034251,Tunisie,Manouba,1995-04-08,"Blockchain, Ressources humaines, DevOps, Gestion de projet"
6993,Fadia Ben Youssef,fadia.ben.youssef417@hotmail.com,formateur,+21696345057,Tunisie,Siliana,1986-03-18,"Audit, Technologie, Stratégie d'entreprise"
6994,Amine Khlif,amine.khlif741@hotmail.com,formateur,+21653630379,Tunisie,Ariana,1968-04-21,"Qualité, Gestion de projet, Ressources humaines, Entrepreneuriat, Business intelligence"
6995,Farouk Essid,farouk.essid790@laposte.net,formateur,+21624690509,Tunisie,Médenine,1973-06-21,"Analyse de données, Marketing digital, Conseil, Stratégie d'entreprise, Leadership, Agile"
6996,Nader Nabli,nader.nabli97@topnet.tn,formateur,+21652858364,Tunisie,Sousse,1966-11-06,"Veille technologique, Cybersécurité"
6997,Ahlem Ouali,ahlem.ouali286@gmail.com,formateur,+21652435261,Tunisie,Tozeur,1984-09-15,"Cloud computing, DevOps, IoT, Entrepreneuriat"
6998,Rami Khlif,rami.khlif596@outlook.com,formateur,+21622844335,Tunisie,Nabeul,1980-06-03,"Mentoring, Machine learning, E-commerce, Technologie, Qualité, Ressources humaines"
6999,Jihene Ezzine,jihene.ezzine462@outlook.com,formateur,+21691076473,Tunisie,Médenine,1978-02-13,"IoT, Conseil"
7000,Amine Bouhamed,amine.bouhamed157@yahoo.fr,formateur,+21620777915,Tunisie,Kairouan,1995-12-01,"Leadership, Développement web"
7001,Intissar Karray,intissar.karray76@orange.tn,formateur,+21695310121,Tunisie,Sousse,1969-09-26,"DevOps, Qualité, Formation professionnelle, Cloud computing, Blockchain"
7002,Amine Hadj,amine.hadj183@topnet.tn,formateur,+21694713024,Tunisie,Manouba,1967-01-02,"Innovation, Audit, Ressources humaines"
7003,Dalila Ben Salah,dalila.ben.salah289@laposte.net,formateur,+21697212068,Tunisie,Tozeur,1988-04-04,"Coaching, Informatique"
7562,Yosra Dali,yosra.dali816@topnet.tn,apprenant,+21659939040,Tunisie,Gabès,2003-05-22,"Gestion de projet, DevOps, ITIL"
7563,Hana Mabrouk,hana.mabrouk395@live.com,apprenant,+21697188802,Tunisie,Nabeul,1988-01-08,"Agile, ITIL, Audit, Technologie, Gestion de projet"
7564,Sabrine Jazi,sabrine.jazi274@yahoo.fr,apprenant,+21652121701,Tunisie,Nabeul,1995-01-17,"Entrepreneuriat, Intelligence artificielle"
7565,Dorra Khedher,dorra.khedher744@yahoo.fr,apprenant,+21651000849,Tunisie,Mahdia,1999-02-16,"E-commerce, Business intelligence, Stratégie d'entreprise, Management"
7566,Hana Jebali,hana.jebali619@hotmail.com,apprenant,+21696248493,Tunisie,Siliana,2005-05-11,"IoT, Intelligence artificielle, Blockchain, DevOps, Audit"
7567,Rami Mrad,rami.mrad125@yahoo.fr,apprenant,+21658922915,Tunisie,Kasserine,1988-12-02,"Technologie, Digital transformation, Certification, Coaching"
7568,Imed Bouhamed,imed.bouhamed516@hotmail.com,apprenant,+21626572144,Tunisie,Tunis,2001-12-21,"Audit, Informatique, Ressources humaines, Formation professionnelle"
7569,Najoua Sellami,najoua.sellami168@hotmail.com,apprenant,+21654097705,Tunisie,Tozeur,1994-05-24,"Finance, Cybersécurité, Entrepreneuriat, Agile, Digital transformation"
7570,Manel Dali,manel.dali527@laposte.net,apprenant,+21656917832,Tunisie,Ben Arous,1999-02-14,"Blockchain, Innovation, Ressources humaines, Mentoring, ITIL, Agile"
7571,Amel Jouini,amel.jouini285@gmail.com,apprenant,+21699813627,Tunisie,Manouba,1988-10-19,"Management, Machine learning"
7572,Zied Mansouri,zied.mansouri840@laposte.net,apprenant,+21624289393,Tunisie,Sfax,1992-12-07,"IoT, Stratégie d'entreprise, Agile"
7573,Emna Ben Ahmed,emna.ben.ahmed533@laposte.net,apprenant,+21625258391,Tunisie,Ariana,2000-10-03,"Conseil, Gestion de projet, Management"
7574,Wael Bouslama,wael.bouslama690@laposte.net,apprenant,+21620106406,Tunisie,Ben Arous,1987-04-02,"Communication, Management, Certification, Innovation, Finance"
7575,Zeineb Nabli,zeineb.nabli330@live.com,apprenant,+21625765863,Tunisie,Tataouine,1993-03-04,"Finance, Stratégie d'entreprise, DevOps, Ressources humaines, Communication, Intelligence artificielle"
7576,Walid Hamdi,walid.hamdi78@gmail.com,apprenant,+21691692245,Tunisie,Sousse,1985-09-13,"Veille technologique, Audit, Communication"
7577,Jamel Hassen,jamel.hassen564@hotmail.com,apprenant,+21624140087,Tunisie,Gafsa,1986-03-27,"Innovation, Analyse de données"
7578,Bassem Karray,bassem.karray559@orange.tn,apprenant,+21657341942,Tunisie,Sidi Bouzid,2001-08-26,"Technologie, E-commerce"
7579,Fatma Hmida,fatma.hmida956@topnet.tn,apprenant,+21621367024,Tunisie,Kébili,1988-07-20,"Blockchain, Coaching, Intelligence artificielle, Cloud computing, Technologie, Digital transformation"
7580,Samia Feriani,samia.feriani895@live.com,apprenant,+21652464371,Tunisie,Gabès,2007-06-12,"Entrepreneuriat, Développement web, Technologie, Marketing digital"
7581,Farah Mabrouk,farah.mabrouk396@outlook.com,apprenant,+21650642421,Tunisie,Gabès,1986-02-05,"Innovation, Veille technologique, Technologie, Formation professionnelle, Ressources humaines, Management"
7582,Fatma Mahjoub,fatma.mahjoub122@gmail.com,apprenant,+21653751988,Tunisie,Jendouba,1993-12-05,"Finance, Blockchain"
7583,Ali Mrad,ali.mrad709@yahoo.fr,apprenant,+21626856449,Tunisie,Le Kef,1988-08-07,"Entrepreneuriat, Analyse de données, DevOps, Lean management"
7584,Ines Daoud,ines.daoud412@live.com,apprenant,+21691420731,Tunisie,Sousse,1990-05-27,"Conseil, Digital transformation, Cloud computing, Mentoring, Business intelligence, Certification"
7585,Sofiane Hamza,sofiane.hamza883@orange.tn,apprenant,+21655743376,Tunisie,Gafsa,1999-03-31,"Conseil, Informatique, Stratégie d'entreprise, Marketing digital, Intelligence artificielle"
7586,Samir Guesmi,samir.guesmi460@orange.tn,apprenant,+21624090652,Tunisie,Mahdia,1990-09-20,"ITIL, Formation professionnelle, Blockchain"
7587,Farah Feriani,farah.feriani804@orange.tn,apprenant,+21658349673,Tunisie,Tunis,1996-08-13,"Agile, Management, Cybersécurité, Gestion de projet, Audit, Entrepreneuriat"
7588,Ridha Gharbi,ridha.gharbi475@gmail.com,apprenant,+21659268882,Tunisie,Kébili,1991-10-16,"Formation professionnelle, Innovation, IoT, Management, Technologie, Ressources humaines"
7589,Wafa Hamdi,wafa.hamdi169@hotmail.com,apprenant,+21622959285,Tunisie,Monastir,1991-10-05,"Digital transformation, Finance"
7590,Samir Ferchichi,samir.ferchichi908@live.com,apprenant,+21624105059,Tunisie,Béja,2000-03-20,"Ressources humaines, Coaching, Analyse de données"
7591,Fethi Bouslama,fethi.bouslama709@hotmail.com,apprenant,+21659521631,Tunisie,Mahdia,2006-04-18,"Mentoring, Conseil, Blockchain, Stratégie d'entreprise, Communication, Innovation"
7592,Cyrine Bouslama,cyrine.bouslama753@gmail.com,apprenant,+21693350909,Tunisie,Siliana,2001-07-16,"Technologie, Mentoring"
7593,Bochra Marzouki,bochra.marzouki190@gmail.com,apprenant,+21699416496,Tunisie,Béja,2002-02-16,"Coaching, Leadership, Cybersécurité, Digital transformation"
7594,Slim Gasmi,slim.gasmi591@outlook.com,apprenant,+21620415202,Tunisie,Gafsa,1988-04-23,"Audit, Leadership, Formation professionnelle, Communication, E-commerce"
7595,Zied Karray,zied.karray282@yahoo.fr,apprenant,+21655357478,Tunisie,Siliana,2004-08-16,"Mentoring, Coaching, Informatique, Certification, E-commerce"
7596,Chedly Ferjani,chedly.ferjani917@yahoo.fr,apprenant,+21624540388,Tunisie,Kébili,2007-04-25,"Coaching, Gestion de projet, Développement web, ITIL, Finance"
7597,Fethi Khlif,fethi.khlif166@live.com,apprenant,+21625634859,Tunisie,Kairouan,2007-05-31,"Stratégie d'entreprise, Management, Blockchain"
7598,Ghazi Nasri,ghazi.nasri70@gmail.com,apprenant,+21623510090,Tunisie,Sidi Bouzid,2005-09-21,"Ressources humaines, Digital transformation, Coaching, Agile, Formation professionnelle, IoT"
7599,Hana Meddeb,hana.meddeb673@orange.tn,apprenant,+21699391087,Tunisie,Kairouan,2004-11-09,"Agile, Ressources humaines, Stratégie d'entreprise, ITIL, Innovation, Technologie"
7600,Zouheir Horchani,zouheir.horchani773@hotmail.com,apprenant,+21622426897,Tunisie,Zaghouan,1998-12-10,"DevOps, Technologie, Développement web, Conseil"
7601,Amine Benhassan,amine.benhassan119@gmail.com,apprenant,+21698611285,Tunisie,Monastir,1993-02-27,"Gestion de projet, Lean management, Business intelligence, Audit"
7602,Chiraz Guesmi,chiraz.guesmi905@hotmail.com,apprenant,+21694594304,Tunisie,Ariana,2003-02-21,"Stratégie d'entreprise, Lean management, Marketing digital, Digital transformation, Analyse de données"
7603,Rania Landolsi,rania.landolsi930@live.com,apprenant,+21620014588,Tunisie,Ben Arous,1990-06-08,"Qualité, Innovation, Cloud computing, Technologie, Digital transformation"
7604,Zohra Neffati,zohra.neffati180@laposte.net,apprenant,+21626910489,Tunisie,Béja,2003-12-13,"Formation professionnelle, Coaching, Communication, Certification, Machine learning"
7605,Walid Chihaoui,walid.chihaoui211@live.com,apprenant,+21624081034,Tunisie,Kasserine,2005-06-19,"Machine learning, Entrepreneuriat, Cybersécurité, Ressources humaines, DevOps, Stratégie d'entreprise"
7606,Zeineb Ouali,zeineb.ouali753@outlook.com,apprenant,+21629844329,Tunisie,Jendouba,2006-07-18,"Coaching, Stratégie d'entreprise, DevOps"
7607,Samia Feriani,samia.feriani290@yahoo.fr,apprenant,+21692595492,Tunisie,Tataouine,1994-12-11,"ITIL, IoT"
7608,Dalila Rekik,dalila.rekik796@orange.tn,apprenant,+21695851252,Tunisie,Kairouan,2007-06-06,"Qualité, Entrepreneuriat, Mentoring, Stratégie d'entreprise, Finance, Ressources humaines"
7609,Hana Jouini,hana.jouini304@live.com,apprenant,+21654193871,Tunisie,Tataouine,1993-02-06,"Certification, ITIL"
7610,Hedi Jouini,hedi.jouini645@gmail.com,apprenant,+21627667012,Tunisie,Jendouba,1994-09-06,"Cybersécurité, Analyse de données, Ressources humaines, Gestion de projet, Conseil, Digital transformation"
7611,Khaled Gharbi,khaled.gharbi780@live.com,apprenant,+21628117202,Tunisie,Ben Arous,1992-08-31,"Innovation, Leadership, Mentoring, Digital transformation, ITIL"
7612,Samia Nasri,samia.nasri799@outlook.com,apprenant,+21650699176,Tunisie,Mahdia,2000-02-20,"Gestion de projet, Marketing digital, Développement web"
7613,Ghazi Fatnassi,ghazi.fatnassi379@laposte.net,apprenant,+21621743740,Tunisie,Zaghouan,2005-12-13,"Développement web, Veille technologique, IoT, Lean management"
7614,Moez Bouaziz,moez.bouaziz116@orange.tn,apprenant,+21699594448,Tunisie,Bizerte,2004-08-31,"Marketing digital, ITIL, Lean management, Conseil, Entrepreneuriat, Certification"
7004,Najoua Mrad,najoua.mrad63@orange.tn,formateur,+21653492550,Tunisie,Sousse,1977-06-01,"Communication, Finance, Lean management, Innovation"
7005,Chiraz Hassen,chiraz.hassen602@yahoo.fr,formateur,+21690675124,Tunisie,Médenine,1972-05-25,"Certification, Cloud computing, Mentoring"
7006,Khadija Jelassi,khadija.jelassi938@gmail.com,formateur,+21627588806,Tunisie,Siliana,1976-11-22,"Formation professionnelle, ITIL, Conseil, Qualité"
7007,Zied Feriani,zied.feriani642@outlook.com,formateur,+21657494668,Tunisie,Médenine,1984-08-11,"Innovation, Intelligence artificielle, Stratégie d'entreprise"
7008,Maroua Dridi,maroua.dridi591@laposte.net,formateur,+21623462734,Tunisie,Le Kef,1977-03-25,"Marketing digital, IoT"
7009,Bochra Mestiri,bochra.mestiri947@live.com,formateur,+21652140718,Tunisie,Gafsa,1991-05-02,"Cloud computing, Formation professionnelle"
7010,Dorra Laabidi,dorra.laabidi109@topnet.tn,formateur,+21652052818,Tunisie,Tunis,1991-01-14,"Intelligence artificielle, Certification, Mentoring"
7011,Emad Meddeb,emad.meddeb263@outlook.com,formateur,+21620057663,Tunisie,Médenine,1987-06-08,"Veille technologique, Technologie, Formation professionnelle, Marketing digital"
7012,Mehdi Ben Salah,mehdi.ben.salah468@laposte.net,formateur,+21695403190,Tunisie,Nabeul,1978-09-17,"Cloud computing, Lean management, Management"
7013,Takwa Benhassan,takwa.benhassan905@orange.tn,formateur,+21622293694,Tunisie,Nabeul,1994-07-09,"Finance, Cybersécurité, Machine learning, Marketing digital"
7014,Khadija Ktari,khadija.ktari94@outlook.com,formateur,+21626475283,Tunisie,Le Kef,1979-05-22,"Coaching, Qualité, Cloud computing, Communication, E-commerce, Conseil"
7015,Ahmed Ben Salah,ahmed.ben.salah828@outlook.com,formateur,+21696019674,Tunisie,Kébili,1966-02-05,"Management, DevOps"
7016,Zied Kchir,zied.kchir752@outlook.com,formateur,+21627133966,Tunisie,Kébili,1992-01-06,"Innovation, Marketing digital, Informatique"
7017,Mohamed Bouslama,mohamed.bouslama217@hotmail.com,formateur,+21629030374,Tunisie,Ben Arous,1994-04-04,"Certification, Conseil"
7018,Ahlem Bouhamed,ahlem.bouhamed454@topnet.tn,formateur,+21690220243,Tunisie,Manouba,1985-12-11,"Lean management, Stratégie d'entreprise, Blockchain, DevOps"
7019,Sonia Rekik,sonia.rekik122@hotmail.com,formateur,+21695057649,Tunisie,Gafsa,1992-12-12,"Marketing digital, Coaching"
7020,Maher Neffati,maher.neffati503@gmail.com,formateur,+21690971511,Tunisie,Bizerte,1993-11-19,"Lean management, Communication, Blockchain, Intelligence artificielle, Audit, Management"
7021,Wided Daoud,wided.daoud841@orange.tn,formateur,+21691961954,Tunisie,Tunis,1961-09-21,"Marketing digital, Développement web, Conseil, Formation professionnelle"
7022,Yasmine Dhouib,yasmine.dhouib718@gmail.com,formateur,+21628448798,Tunisie,Manouba,1966-11-08,"Technologie, DevOps, Mentoring"
7023,Hedi Hamza,hedi.hamza269@topnet.tn,formateur,+21654746713,Tunisie,Kairouan,1987-11-13,"Formation professionnelle, Analyse de données"
7024,Karim Hadj,karim.hadj75@hotmail.com,formateur,+21625355697,Tunisie,Sousse,1968-08-06,"Finance, Entrepreneuriat, Blockchain, Gestion de projet"
7025,Youssef Labidi,youssef.labidi772@laposte.net,formateur,+21691118619,Tunisie,Sfax,1960-06-10,"Audit, Leadership, Analyse de données, Entrepreneuriat, Stratégie d'entreprise"
7026,Emna Khlif,emna.khlif333@orange.tn,formateur,+21691962363,Tunisie,Gabès,1984-02-21,"Intelligence artificielle, Agile, Technologie, Digital transformation, Entrepreneuriat, Innovation"
7027,Omar Labidi,omar.labidi342@live.com,formateur,+21658160540,Tunisie,Sousse,1980-11-23,"Formation professionnelle, Conseil"
7028,Nabil Daoud,nabil.daoud701@orange.tn,formateur,+21697686765,Tunisie,Sousse,1977-01-25,"Technologie, Audit"
7029,Manel Gabsi,manel.gabsi665@live.com,formateur,+21693368070,Tunisie,Sidi Bouzid,1979-08-07,"Stratégie d'entreprise, Technologie, Ressources humaines, Veille technologique, Finance"
7030,Khaled Hamdi,khaled.hamdi651@orange.tn,formateur,+21654144579,Tunisie,Médenine,1982-07-10,"Leadership, Finance, Blockchain, Machine learning, Technologie, Cybersécurité"
7670,Hana Limam,hana.limam932@hotmail.com,apprenant,+21625374321,Tunisie,Tozeur,1986-07-06,"Stratégie d'entreprise, Cloud computing"
7179,Kais Gasmi,kais.gasmi930@orange.tn,apprenant,+21629531810,Tunisie,Bizerte,1985-04-19,"Intelligence artificielle, Certification"
7180,Manel Derbali,manel.derbali461@gmail.com,apprenant,+21697076039,Tunisie,Kasserine,1985-07-04,"Communication, Cloud computing"
7181,Chiraz Ezzine,chiraz.ezzine873@yahoo.fr,apprenant,+21627943740,Tunisie,Sfax,2004-12-20,"Stratégie d'entreprise, Lean management"
7182,Lobna Horchani,lobna.horchani610@topnet.tn,apprenant,+21620108692,Tunisie,Monastir,1991-10-22,"Finance, Certification, Informatique, Conseil"
7183,Yassine Laabidi,yassine.laabidi137@outlook.com,apprenant,+21690863063,Tunisie,Sidi Bouzid,1986-07-05,"Communication, Conseil, Entrepreneuriat"
7184,Hajer Dali,hajer.dali225@gmail.com,apprenant,+21620662010,Tunisie,Siliana,1989-07-24,"Digital transformation, Audit"
7185,Salma Fourati,salma.fourati17@orange.tn,apprenant,+21655961973,Tunisie,Manouba,1997-07-07,"Coaching, Blockchain, Leadership, Qualité, Technologie, Cybersécurité"
7186,Hichem Kchir,hichem.kchir778@orange.tn,apprenant,+21621027616,Tunisie,Gafsa,1994-11-22,"DevOps, Conseil, Intelligence artificielle, Développement web, Ressources humaines"
7187,Zohra Nabli,zohra.nabli541@live.com,apprenant,+21624015604,Tunisie,Béja,2000-06-13,"Développement web, Technologie"
7188,Moez Hadj,moez.hadj713@yahoo.fr,apprenant,+21652172089,Tunisie,Sousse,1996-09-08,"Innovation, Informatique, Lean management"
7189,Hichem Ben Youssef,hichem.ben.youssef559@orange.tn,apprenant,+21699070362,Tunisie,Tunis,1998-03-05,"Mentoring, Audit, Veille technologique"
7190,Hedi Ouali,hedi.ouali752@hotmail.com,apprenant,+21629564889,Tunisie,Sousse,1995-08-15,"Finance, Agile, Digital transformation, Management, Leadership, Innovation"
7191,Adel Fkih,adel.fkih523@outlook.com,apprenant,+21651226041,Tunisie,Jendouba,1996-08-14,"Ressources humaines, Certification"
7192,Myriam Fatnassi,myriam.fatnassi622@topnet.tn,apprenant,+21622889042,Tunisie,Sousse,2000-06-02,"Entrepreneuriat, Développement web, Analyse de données, Informatique"
7193,Tarek Bouaziz,tarek.bouaziz351@gmail.com,apprenant,+21657134580,Tunisie,Béja,1999-05-08,"Formation professionnelle, Veille technologique"
7194,Maroua Chebbi,maroua.chebbi409@gmail.com,apprenant,+21625375588,Tunisie,Sousse,1996-05-12,"Finance, DevOps, Analyse de données, Machine learning, Digital transformation, Gestion de projet"
7195,Kais Chebbi,kais.chebbi318@laposte.net,apprenant,+21623163695,Tunisie,Kasserine,2007-09-19,"Digital transformation, Intelligence artificielle, Cloud computing"
7196,Fares Hassen,fares.hassen457@topnet.tn,apprenant,+21699020012,Tunisie,Kairouan,1991-09-22,"Business intelligence, Ressources humaines"
7197,Ridha Mrad,ridha.mrad887@orange.tn,apprenant,+21652656031,Tunisie,Kébili,2002-11-23,"Gestion de projet, Intelligence artificielle, Machine learning, Finance, Stratégie d'entreprise, Conseil"
7198,Emad Hajji,emad.hajji257@outlook.com,apprenant,+21621648737,Tunisie,Le Kef,2004-07-22,"Cloud computing, DevOps"
7199,Lassad Ghanmi,lassad.ghanmi673@topnet.tn,apprenant,+21652702642,Tunisie,Médenine,1991-07-07,"Qualité, DevOps, Ressources humaines"
