ID,ID Utilisateur,Nom Utilisateur,Formation,Compétences Avant (moyenne),Compétences Après (moyenne),Progression (%)
13090,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13091,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13092,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13093,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13094,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13095,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13096,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13097,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13098,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
13099,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13100,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13101,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
13102,14491,Walid Bouhamed,ITIL 4 Foundation - Gestion des Services IT,4.25,7.25,300
13103,14139,Lassad Kammoun,ITIL 4 Foundation - Gestion des Services IT,3.25,8.5,525
13104,14730,Salah Fkih,ITIL 4 Foundation - Gestion des Services IT,3.25,7.25,400
13105,14563,Bochra Fatnassi,ITIL 4 Foundation - Gestion des Services IT,3.5,8.75,525
13106,14565,Rami Mejri,ITIL 4 Foundation - Gestion des Services IT,6.75,8.25,150
13107,14670,Karim Nabli,ITIL 4 Foundation - Gestion des Services IT,4,7.25,325
13108,14587,Hajer Mestiri,ITIL 4 Foundation - Gestion des Services IT,2.25,4.25,200
13109,14638,Zouheir Hamza,ITIL 4 Foundation - Gestion des Services IT,5.75,9.5,375
13110,14659,Hichem Mabrouk,ITIL 4 Foundation - Gestion des Services IT,2,6.5,450
13111,14662,Cyrine Hachicha,ITIL 4 Foundation - Gestion des Services IT,5.5,8.75,325
13112,14645,Zeineb Jelassi,ITIL 4 Foundation - Gestion des Services IT,4.5,7.5,300
13113,14560,Hiba Gharbi,ITIL 4 Foundation - Gestion des Services IT,3.75,6.75,300
13114,14674,Omar Gharbi,ITIL 4 Foundation - Gestion des Services IT,5,7.5,250
13115,14488,Wael Ezzine,ITIL 4 Foundation - Gestion des Services IT,3.25,6.25,300
13116,14139,Lassad Kammoun,ITIL 4 Foundation - Gestion des Services IT,3.75,7.5,375
13117,14730,Salah Fkih,ITIL 4 Foundation - Gestion des Services IT,4.5,7,250
13118,14563,Bochra Fatnassi,ITIL 4 Foundation - Gestion des Services IT,4.25,7.75,350
13119,14621,Yasmine Karray,ITIL 4 Foundation - Gestion des Services IT,4.5,8,350
13120,14565,Rami Mejri,ITIL 4 Foundation - Gestion des Services IT,2.25,7.5,525
13121,14670,Karim Nabli,ITIL 4 Foundation - Gestion des Services IT,5,7.25,225
13122,14587,Hajer Mestiri,ITIL 4 Foundation - Gestion des Services IT,4,9,500
