ID,ID Utilisateur,Nom Utilisateur,Email Utilisateur,ID Formation,Titre Formation,Date Formation,Date Achat
28802,25436,Test Apprenant,testapprenant25@gmail.com,472,Formation Test - Développement Web Avancé,2025-05-07,2025-04-30
28803,25436,Test Apprenant,testapprenant25@gmail.com,473,Formation Test - Cybersécurité Fondamentale,2025-05-23,2025-05-10
28804,25436,Test Apprenant,testapprenant25@gmail.com,474,Formation Test - Développement Web Avancé,2025-05-21,2025-05-16
28805,25436,Test Apprenant,testapprenant25@gmail.com,475,Formation Test - Cybersécurité Fondamentale,2025-04-01,2025-03-21
28806,26331,Olfa Chaabane,olfa.chaabane645@laposte.net,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-15
28807,25918,Ines Guizani,ines.guizani852@topnet.tn,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-25
28808,25808,Bochra Guesmi,bochra.guesmi129@orange.tn,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-03
28809,25835,Salah Ferchichi,salah.ferchichi561@outlook.com,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-10
28810,25865,Khaled Guesmi,khaled.guesmi677@laposte.net,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-15
28811,25745,Mohamed Kchir,mohamed.kchir510@live.com,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-18
28812,26039,Rim Chaieb,rim.chaieb847@hotmail.com,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-23
28813,25705,Adel Hachicha,adel.hachicha863@laposte.net,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-14
28814,25784,Sami Kammoun,sami.kammoun172@hotmail.com,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-02
28815,25987,Wael Gabsi,wael.gabsi581@topnet.tn,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-23
28816,25719,Noureddine Hmida,noureddine.hmida99@hotmail.com,476,ITIL 4 Foundation - Gestion des Services IT,2024-12-27,2024-12-04
