ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
14107,17357,Test Apprenant,ITIL 4 Foundation - Gestion des Services IT,5,5,3,4,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
14108,17357,Test Apprenant,DevOps Foundation,3,5,5,3,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
14109,17357,Test Apprenant,DevOps Foundation,3,3,3,4,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
14110,17357,Test Apprenant,ITIL 4 Foundation - Gestion des Services IT,5,3,5,4,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
14111,17357,Test Apprenant,ITIL 4 Foundation - Gestion des Services IT,4,3,3,5,4,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
14112,17357,Test Apprenant,DevOps Foundation,5,3,4,4,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
14113,17357,Test Apprenant,DevOps Foundation,4,5,4,5,4,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
14114,18474,Hiba Benhassan,ITIL 4 Foundation - Gestion des Services IT,3,3,3,3,4,4,"Contenu bien structuré, formateur compétent."
14115,18244,Fethi Omrani,ITIL 4 Foundation - Gestion des Services IT,5,5,3,3,4,3,Formation très intéressante et enrichissante.
14116,17730,Sonia Ferchichi,ITIL 4 Foundation - Gestion des Services IT,4,5,5,4,4,4,Formation très intéressante et enrichissante.
14117,17805,Fadia Kammoun,ITIL 4 Foundation - Gestion des Services IT,5,5,3,4,4,3,Formation très intéressante et enrichissante.
14118,17735,Aymen Bouhamed,ITIL 4 Foundation - Gestion des Services IT,5,4,5,5,5,4,"Contenu bien structuré, formateur compétent."
14119,17842,Mehdi Mabrouk,ITIL 4 Foundation - Gestion des Services IT,3,4,5,5,5,5,Formation très intéressante et enrichissante.
14120,18041,Wided Gabsi,ITIL 4 Foundation - Gestion des Services IT,4,4,3,3,3,5,"Contenu bien structuré, formateur compétent."
14121,17808,Rami Trabelsi,ITIL 4 Foundation - Gestion des Services IT,3,5,3,5,3,4,"Contenu bien structuré, formateur compétent."
14122,17753,Dorsaf Gharbi,ITIL 4 Foundation - Gestion des Services IT,4,3,5,3,3,5,Formation très intéressante et enrichissante.
14123,18014,Najoua Essid,ITIL 4 Foundation - Gestion des Services IT,5,5,3,5,5,3,Formation très intéressante et enrichissante.
14124,18098,Noureddine Khedher,ITIL 4 Foundation - Gestion des Services IT,5,4,4,4,4,4,Formation très intéressante et enrichissante.
14125,17846,Intissar Mrad,ITIL 4 Foundation - Gestion des Services IT,4,4,5,3,3,4,Formation très intéressante et enrichissante.
14126,17936,Myriam Limam,ITIL 4 Foundation - Gestion des Services IT,3,4,3,3,4,4,Formation très intéressante et enrichissante.
14127,17779,Fadia Guizani,ITIL 4 Foundation - Gestion des Services IT,3,3,4,3,3,3,"Contenu bien structuré, formateur compétent."
14128,17864,Rim Jelassi,ITIL 4 Foundation - Gestion des Services IT,5,5,5,5,5,3,Formation très intéressante et enrichissante.
14129,17874,Imed Chebbi,ITIL 4 Foundation - Gestion des Services IT,5,5,3,4,3,5,"Contenu bien structuré, formateur compétent."
14130,18055,Lassad Hachicha,ITIL 4 Foundation - Gestion des Services IT,3,3,3,5,3,5,"Contenu bien structuré, formateur compétent."
14131,17960,Hana Ghali,ITIL 4 Foundation - Gestion des Services IT,5,3,4,4,5,5,Formation très intéressante et enrichissante.
14132,17750,Ridha Nabli,ITIL 4 Foundation - Gestion des Services IT,4,3,4,3,4,4,"Contenu bien structuré, formateur compétent."
14133,18083,Chedly Mabrouk,ITIL 4 Foundation - Gestion des Services IT,4,3,4,4,3,4,Formation très intéressante et enrichissante.
14134,18208,Nader Jemli,ITIL 4 Foundation - Gestion des Services IT,4,3,5,5,3,3,Formation très intéressante et enrichissante.
14135,17730,Sonia Ferchichi,ITIL 4 Foundation - Gestion des Services IT,3,3,5,5,4,4,Formation très intéressante et enrichissante.
14136,17805,Fadia Kammoun,ITIL 4 Foundation - Gestion des Services IT,4,4,3,3,4,3,Formation très intéressante et enrichissante.
