ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
329,ITIL 4 Foundation - Gestion des Services IT,17358,Test Formateur,2025-04-30,143,2
330,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",17358,Test Formateur,2025-04-16,90,2
331,DevOps Foundation,17358,Test Formateur,2025-04-20,64,2
332,ITIL 4 Foundation - Gestion des Services IT,17358,Test Formateur,2025-05-27,100,2
333,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",17358,Test Formateur,2025-04-09,53,2
334,DevOps Foundation,17358,Test Formateur,2025-04-21,72,2
335,ITIL 4 Foundation - Gestion des Services IT,17414,Najoua Ghanmi,2025-03-29,111,3
336,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",17491,Zied Hmida,2025-04-03,111,5
337,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",17443,Rania Kammoun,2025-06-02,79,3
338,"ITIL 4 Strategist: Direct, Plan and Improve",17425,Latifa Sellami,2025-06-06,79,3
339,DevOps Foundation,17373,Nesrine Trabelsi,2025-03-19,75,4
340,AWS Certified Solutions Architect - Associate,17420,Farah Rekik,2025-01-30,79,4
341,Microsoft Azure Administrator,17362,Hatem Ben Salah,2025-02-18,77,5
342,Google Cloud Professional Cloud Architect,17485,Sofiane Nasri,2025-01-30,85,5
343,Scrum Master Certified,17387,Walid Essid,2025-03-09,95,5
344,Project Management Professional (PMP),17449,Fares Landolsi,2025-01-11,96,3
345,Certified Information Systems Security Professional (CISSP),17423,Farah Chaieb,2025-05-04,67,5
346,Data Science avec Python,17416,Bassem Ktari,2025-04-19,66,4
347,Blockchain pour les entreprises,17413,Bochra Ghali,2025-04-27,68,3
348,Intelligence Artificielle pour managers,17463,Chedly Bouslama,2025-03-31,65,3
349,Cybersécurité opérationnelle,17437,Omar Khlif,2025-05-24,79,3
