ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
18458,Rim Bouhamed,rim.bouhamed142@topnet.tn,apprenant,+21690984845,Tunisie,Ariana,1999-02-14,"Business intelligence, Développement web, Leadership, Marketing digital, Blockchain, Cloud computing"
18459,Jihene Bouhamed,jihene.bouhamed44@hotmail.com,apprenant,+21693500628,Tunisie,Zaghouan,1994-12-07,"Gestion de projet, IoT, Développement web"
18460,Chiraz Ben Ali,chiraz.ben.ali634@topnet.tn,apprenant,+21697659499,Tunisie,Sfax,2000-08-31,"Entrepreneuriat, Stratégie d'entreprise, Analyse de données, Cybersécurité"
18461,Walid Jebali,walid.jebali630@topnet.tn,apprenant,+21659424233,Tunisie,Tozeur,1992-08-23,"Management, Communication"
18462,Lassad Limam,lassad.limam545@outlook.com,apprenant,+21696211428,Tunisie,Bizerte,1996-01-06,"Cybersécurité, E-commerce, Ressources humaines, Entrepreneuriat, Formation professionnelle"
18463,Karima Jazi,karima.jazi467@outlook.com,apprenant,+21624219107,Tunisie,Siliana,1996-08-31,"ITIL, Management"
18464,Emna Jebali,emna.jebali728@hotmail.com,apprenant,+21655956433,Tunisie,Sfax,1993-09-20,"Qualité, Audit"
18465,Besma Derbali,besma.derbali971@orange.tn,apprenant,+21699716165,Tunisie,Ariana,2007-05-07,"Entrepreneuriat, Cloud computing, Agile, Blockchain, ITIL"
18466,Kais Mrad,kais.mrad61@gmail.com,apprenant,+21655021128,Tunisie,Le Kef,1999-10-19,"Entrepreneuriat, Coaching, Digital transformation, Stratégie d'entreprise, Formation professionnelle"
18467,Rim Hamdi,rim.hamdi354@orange.tn,apprenant,+21652032092,Tunisie,Gafsa,2001-09-06,"Management, Intelligence artificielle, Développement web, Cloud computing"
18468,Fares Trabelsi,fares.trabelsi56@yahoo.fr,apprenant,+21696376710,Tunisie,Sidi Bouzid,1986-05-02,"IoT, Innovation, Coaching, Digital transformation, DevOps, Audit"
18469,Sabrine Kchir,sabrine.kchir859@gmail.com,apprenant,+21690971422,Tunisie,Béja,2002-03-26,"Intelligence artificielle, Leadership"
18470,Zeineb Feriani,zeineb.feriani481@orange.tn,apprenant,+21692626669,Tunisie,Tozeur,1985-07-16,"Certification, Analyse de données, Finance, Audit, Conseil, Développement web"
18471,Ahmed Limam,ahmed.limam529@hotmail.com,apprenant,+21696348669,Tunisie,Tataouine,1990-05-12,"Lean management, Cybersécurité, Ressources humaines, Développement web, Coaching, Business intelligence"
18472,Ridha Dhouib,ridha.dhouib730@laposte.net,apprenant,+21626330441,Tunisie,Zaghouan,2006-10-07,"Innovation, Business intelligence, Coaching, Gestion de projet"
18473,Emna Mansouri,emna.mansouri199@live.com,apprenant,+21696761135,Tunisie,Kébili,1995-11-10,"Digital transformation, Cloud computing, Management, Cybersécurité"
18474,Hiba Benhassan,hiba.benhassan78@live.com,apprenant,+21659684178,Tunisie,Kébili,2000-11-05,"Veille technologique, Stratégie d'entreprise, Qualité, Gestion de projet, ITIL, Technologie"
18475,Makram Chihaoui,makram.chihaoui600@topnet.tn,apprenant,+21691921393,Tunisie,Sousse,1987-08-25,"Digital transformation, Cloud computing, Audit"
18476,Hedi Guesmi,hedi.guesmi417@topnet.tn,apprenant,+21691000446,Tunisie,Manouba,2005-12-23,"Certification, Stratégie d'entreprise, Cloud computing, Veille technologique"
18477,Chedly Trabelsi,chedly.trabelsi635@gmail.com,apprenant,+21621223116,Tunisie,Ben Arous,2005-07-31,"E-commerce, Entrepreneuriat, Mentoring, Leadership, Agile"
