ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
434,Formation Test - Développement Web Avancé,23130,Test Formateur,2025-03-27,157,3
435,Formation Test - Cybersécurité Fondamentale,23130,Test Formateur,2025-04-18,81,3
436,Formation Test - Développement Web Avancé,23130,Test Formateur,2025-05-23,102,3
437,Formation Test - Cybersécurité Fondamentale,23130,Test Formateur,2025-04-03,109,3
438,ITIL 4 Foundation - Gestion des Services IT,23260,Tarek Essid,2025-02-07,100,5
439,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",23160,Fares Daoud,2025-03-08,94,4
440,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",23158,Ridha Sellami,2025-04-08,121,3
441,"ITIL 4 Strategist: Direct, Plan and Improve",23274,Salah Ouali,2025-05-19,103,3
442,DevOps Foundation,23276,Noureddine Chaieb,2025-06-10,88,4
443,AWS Certified Solutions Architect - Associate,23234,Makram Hassen,2025-05-05,85,5
444,Microsoft Azure Administrator,23221,Chiraz Chihaoui,2024-12-24,93,4
445,Google Cloud Professional Cloud Architect,23135,Mariam Limam,2025-01-04,91,3
446,Scrum Master Certified,23273,Marwan Ferchichi,2025-01-17,73,4
447,Project Management Professional (PMP),23180,Maher Chaieb,2025-01-30,94,5
448,Certified Information Systems Security Professional (CISSP),23219,Samia Gabsi,2025-05-20,100,4
449,Data Science avec Python,23259,Ines Chedly,2025-01-23,101,4
450,Blockchain pour les entreprises,23228,Lamia Ktari,2025-03-09,58,4
451,Intelligence Artificielle pour managers,23161,Bochra Bouslama,2025-05-05,71,3
452,Cybersécurité opérationnelle,23240,Imed Khedher,2025-04-27,73,5
