ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
23130,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-06-04,"Gestion de projet, DevOps"
23131,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-11-14,"IT Governance, Formation professionnelle"
23129,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-01-09,"Développement web, Cloud computing"
23132,Emna Ezzine,emna.ezzine584@gmail.com,formateur,+21622188291,Tunisie,Mahdia,1967-11-25,"IoT, Formation professionnelle, Audit"
23133,Khaled Chaieb,khaled.chaieb441@hotmail.com,formateur,+21699170636,Tunisie,Sousse,1968-09-02,"Audit, Digital transformation, ITIL, Entrepreneuriat, Machine learning, Business intelligence"
23134,Mohamed Miled,mohamed.miled971@gmail.com,formateur,+21629051405,Tunisie,Le Kef,1993-03-12,"Entrepreneuriat, Formation professionnelle, Audit, Stratégie d'entreprise, Intelligence artificielle, Lean management"
23135,Mariam Limam,mariam.limam524@orange.tn,formateur,+21698934549,Tunisie,Jendouba,1973-06-18,"Gestion de projet, Leadership"
23136,Rim Louati,rim.louati45@hotmail.com,formateur,+21697682616,Tunisie,Sousse,1964-06-03,"Management, Veille technologique, Innovation, Finance, Digital transformation, Ressources humaines"
23137,Hiba Mabrouk,hiba.mabrouk498@yahoo.fr,formateur,+21656242030,Tunisie,Kébili,1973-09-04,"Développement web, Lean management, Management, Cloud computing, Ressources humaines"
23138,Mariam Chebbi,mariam.chebbi730@yahoo.fr,formateur,+21621891971,Tunisie,Monastir,1968-01-18,"Technologie, Conseil"
23139,Imed Layouni,imed.layouni330@outlook.com,formateur,+21696815401,Tunisie,Béja,1989-03-26,"E-commerce, Développement web, Ressources humaines, IoT"
23140,Karima Dhouib,karima.dhouib579@hotmail.com,formateur,+21654839057,Tunisie,Ariana,1978-07-27,"Entrepreneuriat, Mentoring, Conseil, Management, DevOps"
23141,Makram Jemli,makram.jemli66@yahoo.fr,formateur,+21655465294,Tunisie,Béja,1961-06-02,"ITIL, Lean management"
23142,Myriam Sellami,myriam.sellami908@gmail.com,formateur,+21629781106,Tunisie,Zaghouan,1963-04-23,"Innovation, Développement web, Communication, Veille technologique, Certification, Conseil"
23143,Thouraya Ouali,thouraya.ouali763@yahoo.fr,formateur,+21620633812,Tunisie,Kébili,1984-04-03,"Coaching, Qualité"
23144,Wafa Hajji,wafa.hajji268@laposte.net,formateur,+21627158433,Tunisie,Bizerte,1961-04-10,"Informatique, Veille technologique, Agile, Analyse de données, Technologie, Digital transformation"
23145,Maher Mrad,maher.mrad667@gmail.com,formateur,+21691388479,Tunisie,Monastir,1992-06-02,"Formation professionnelle, Cybersécurité, Coaching, E-commerce, Cloud computing, Certification"
23146,Farouk Bouaziz,farouk.bouaziz28@orange.tn,formateur,+21690854715,Tunisie,Nabeul,1979-12-04,"Informatique, Business intelligence, Management"
23147,Emna Maaloul,emna.maaloul160@topnet.tn,formateur,+21693889764,Tunisie,Gabès,1980-06-22,"Machine learning, Gestion de projet, Formation professionnelle, Ressources humaines, Management"
23148,Khadija Bouzid,khadija.bouzid317@gmail.com,formateur,+21651012391,Tunisie,Béja,1979-01-24,"Lean management, Innovation, Technologie, Certification, Informatique, Coaching"
23149,Samir Dali,samir.dali234@gmail.com,formateur,+21699922808,Tunisie,Manouba,1970-01-01,"Stratégie d'entreprise, Digital transformation, Technologie, Qualité, Cloud computing"
23150,Mohamed Nasri,mohamed.nasri382@live.com,formateur,+21628161176,Tunisie,Tozeur,1968-01-08,"Entrepreneuriat, Intelligence artificielle, Formation professionnelle"
23151,Khadija Ghanmi,khadija.ghanmi873@hotmail.com,formateur,+21622959212,Tunisie,Sidi Bouzid,1981-06-06,"Machine learning, Blockchain, Leadership, Audit, Qualité, Gestion de projet"
