ID,ID Utilisateur,Nom Utilisateur,Formation,Compétences Avant (moyenne),Compétences Après (moyenne),Progression (%)
21535,23907,Hana Ben Ahmed,Data Science avec Python,3.5,8.25,475
21536,23877,Hedi Chaabane,Data Science avec Python,3.75,9.25,550
21537,23890,Nour Dhouib,Data Science avec Python,3.25,7,375
21538,23805,Emna Chebbi,Data Science avec Python,4.25,6.5,225
20811,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20812,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20813,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20814,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20815,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20816,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20817,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20818,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20819,23129,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
20820,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20821,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20822,23129,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
20823,23485,Hatem Ben Salah,ITIL 4 Foundation - Gestion des Services IT,4.75,8.5,375
20824,24113,Nader Jouini,ITIL 4 Foundation - Gestion des Services IT,4,8.5,450
20825,23291,Ali Hajji,ITIL 4 Foundation - Gestion des Services IT,4.5,8.5,400
20826,23406,Kenza Nabli,ITIL 4 Foundation - Gestion des Services IT,5,7.75,275
20827,23374,Fares Ben Ali,ITIL 4 Foundation - Gestion des Services IT,5,8,300
20828,23352,Farah Ben Ali,ITIL 4 Foundation - Gestion des Services IT,5,8,300
20829,23405,Samir Dhouib,ITIL 4 Foundation - Gestion des Services IT,4.5,7.5,300
20830,23331,Zied Bouhamed,ITIL 4 Foundation - Gestion des Services IT,4.5,8.25,375
20831,23385,Nabil Chihaoui,ITIL 4 Foundation - Gestion des Services IT,3.25,8.25,500
20832,23334,Slim Nasri,ITIL 4 Foundation - Gestion des Services IT,5,6.5,150
20833,23465,Walid Horchani,ITIL 4 Foundation - Gestion des Services IT,4,6.75,275
20834,23454,Yassine Hamdi,ITIL 4 Foundation - Gestion des Services IT,4.25,7.5,325
20835,23485,Hatem Ben Salah,ITIL 4 Foundation - Gestion des Services IT,5,8,300
20836,23402,Kais Karray,ITIL 4 Foundation - Gestion des Services IT,3.75,8.25,450
20837,23291,Ali Hajji,ITIL 4 Foundation - Gestion des Services IT,3.5,7,350
20838,23352,Farah Ben Ali,ITIL 4 Foundation - Gestion des Services IT,4,6.5,250
20839,23405,Samir Dhouib,ITIL 4 Foundation - Gestion des Services IT,4,7,300
20840,23390,Sofiane Ezzine,ITIL 4 Foundation - Gestion des Services IT,5.75,7.5,175
20841,23331,Zied Bouhamed,ITIL 4 Foundation - Gestion des Services IT,5,7.5,250
20842,23435,Sabrine Ghorbel,ITIL 4 Foundation - Gestion des Services IT,6.25,8.75,250
20843,23334,Slim Nasri,ITIL 4 Foundation - Gestion des Services IT,6,8,200
20844,23465,Walid Horchani,ITIL 4 Foundation - Gestion des Services IT,4.25,7,275
20845,23454,Yassine Hamdi,ITIL 4 Foundation - Gestion des Services IT,4.75,6.75,200
20846,23409,Dali Mrad,ITIL 4 Foundation - Gestion des Services IT,3.5,7,350
20847,23446,Karim Bouslama,ITIL 4 Foundation - Gestion des Services IT,5,8.5,350
20848,24113,Nader Jouini,ITIL 4 Foundation - Gestion des Services IT,4.5,9.75,525
20849,23406,Kenza Nabli,ITIL 4 Foundation - Gestion des Services IT,2.75,8,525
20850,23405,Samir Dhouib,ITIL 4 Foundation - Gestion des Services IT,2.75,5,225
20851,23331,Zied Bouhamed,ITIL 4 Foundation - Gestion des Services IT,6,8.5,250
20852,23385,Nabil Chihaoui,ITIL 4 Foundation - Gestion des Services IT,3.5,6.25,275
20853,23435,Sabrine Ghorbel,ITIL 4 Foundation - Gestion des Services IT,5,6.75,175
20854,23334,Slim Nasri,ITIL 4 Foundation - Gestion des Services IT,2.5,9,650
20855,23465,Walid Horchani,ITIL 4 Foundation - Gestion des Services IT,4,7.25,325
20856,23454,Yassine Hamdi,ITIL 4 Foundation - Gestion des Services IT,4.5,6.25,175
20857,23409,Dali Mrad,ITIL 4 Foundation - Gestion des Services IT,3.25,7.5,425
20858,23446,Karim Bouslama,ITIL 4 Foundation - Gestion des Services IT,5.25,9,375
20859,24113,Nader Jouini,ITIL 4 Foundation - Gestion des Services IT,4.25,7.25,300
20860,23402,Kais Karray,ITIL 4 Foundation - Gestion des Services IT,5.5,8.25,275
20861,23291,Ali Hajji,ITIL 4 Foundation - Gestion des Services IT,3.25,8.25,500
20862,23406,Kenza Nabli,ITIL 4 Foundation - Gestion des Services IT,4,6.25,225
20863,23374,Fares Ben Ali,ITIL 4 Foundation - Gestion des Services IT,5.5,8.75,325
20864,23352,Farah Ben Ali,ITIL 4 Foundation - Gestion des Services IT,3,7,400
