ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
21974,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-05-05,"Développement web, Cloud computing"
21975,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-07-13,"Gestion de projet, DevOps"
21976,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-06-14,"IT Governance, Formation professionnelle"
21977,Nour Bouhamed,nour.bouhamed772@topnet.tn,formateur,+21697693495,Tunisie,Kébili,1968-06-01,"Communication, IoT"
21978,Ridha Dridi,ridha.dridi263@topnet.tn,formateur,+21695902148,Tunisie,Siliana,1981-06-20,"Mentoring, Blockchain"
21979,Ali Nasri,ali.nasri4@hotmail.com,formateur,+21656836787,Tunisie,Kasserine,1988-01-01,"Stratégie d'entreprise, Ressources humaines, Analyse de données"
21980,Nour Labidi,nour.labidi767@hotmail.com,formateur,+21620265895,Tunisie,Sousse,1964-11-13,"Cloud computing, Mentoring, Informatique, Finance, Agile, Machine learning"
21981,Dorsaf Ezzine,dorsaf.ezzine395@outlook.com,formateur,+21658183801,Tunisie,Gafsa,1975-11-10,"Stratégie d'entreprise, Digital transformation"
21982,Kenza Hadj,kenza.hadj269@outlook.com,formateur,+21656239663,Tunisie,Monastir,1973-08-16,"Veille technologique, Business intelligence, Formation professionnelle, Innovation, IoT"
21983,Ikram Chedly,ikram.chedly884@laposte.net,formateur,+21624936885,Tunisie,Ariana,1986-11-11,"Entrepreneuriat, Développement web, Management, ITIL"
21984,Nour Guesmi,nour.guesmi667@hotmail.com,formateur,+21651446946,Tunisie,Kébili,1977-04-23,"Certification, Informatique, Leadership, Technologie, Digital transformation"
21985,Khadija Guizani,khadija.guizani323@topnet.tn,formateur,+21698666828,Tunisie,Tozeur,1975-10-09,"Business intelligence, Leadership, Cybersécurité"
21986,Mohamed Mrad,mohamed.mrad244@topnet.tn,formateur,+21623638873,Tunisie,Sfax,1977-10-08,"Communication, Agile, Intelligence artificielle, Management"
21987,Walid Kchir,walid.kchir815@outlook.com,formateur,+21623202586,Tunisie,Sousse,1965-05-21,"Développement web, Mentoring, Management, Conseil"
21988,Nesrine Gharbi,nesrine.gharbi257@laposte.net,formateur,+21692644019,Tunisie,Gabès,1969-06-22,"Intelligence artificielle, Machine learning, DevOps"
21989,Zeineb Nabli,zeineb.nabli967@hotmail.com,formateur,+21692618580,Tunisie,Monastir,1974-12-03,"Informatique, Agile, Management"
