ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
415,Formation Test - Développement Web Avancé,21975,Test Formateur,2025-05-24,162,3
416,Formation Test - Cybersécurité Fondamentale,21975,Test Formateur,2025-04-15,91,3
417,Formation Test - Développement Web Avancé,21975,Test Formateur,2025-06-03,95,3
418,Formation Test - Cybersécurité Fondamentale,21975,Test Formateur,2025-06-08,103,3
419,ITIL 4 Foundation - Gestion des Services IT,22051,Manel Landolsi,2025-06-08,82,3
420,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",22063,Farah Limam,2025-04-02,122,4
421,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",22110,Myriam Guesmi,2025-05-22,109,3
422,"ITIL 4 Strategist: Direct, Plan and Improve",22119,Ali Karoui,2025-04-06,125,5
423,DevOps Foundation,22094,Ahlem Maaloul,2024-12-19,76,3
424,AWS Certified Solutions Architect - Associate,22020,Ahmed Ezzine,2025-03-31,92,5
425,Microsoft Azure Administrator,22029,Ahlem Mejri,2024-12-27,70,4
426,Google Cloud Professional Cloud Architect,22024,Latifa Mrad,2024-12-17,77,3
427,Scrum Master Certified,22070,Karim Maaloul,2025-01-07,92,3
428,Project Management Professional (PMP),22049,Farouk Ghanmi,2025-02-25,73,4
429,Certified Information Systems Security Professional (CISSP),22061,Maher Hamza,2025-03-21,87,5
430,Data Science avec Python,22105,Amine Chihaoui,2025-04-13,102,5
431,Blockchain pour les entreprises,22043,Ikram Kammoun,2025-03-15,75,4
432,Intelligence Artificielle pour managers,22005,Hichem Jouini,2025-01-02,64,4
433,Cybersécurité opérationnelle,22111,Thouraya Chaabane,2025-04-10,75,3
