ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
310,Formation Test - Développement Web Avancé,16205,Test Formateur,2025-05-31,156,3
311,Formation Test - Cybersécurité Fondamentale,16205,Test Formateur,2025-04-11,93,3
312,Formation Test - Développement Web Avancé,16205,Test Formateur,2025-05-26,78,3
313,Formation Test - Cybersécurité Fondamentale,16205,Test Formateur,2025-05-16,115,3
314,ITIL 4 Foundation - Gestion des Services IT,16217,Zeineb Bouaziz,2025-02-02,98,3
315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",16260,Takwa Ferjani,2025-05-13,93,4
316,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",16269,Nour Dhouib,2024-12-29,101,5
317,"ITIL 4 Strategist: Direct, Plan and Improve",16306,Chiraz Khedher,2025-03-27,122,5
318,DevOps Foundation,16240,Lamia Jouini,2025-01-23,81,4
319,AWS Certified Solutions Architect - Associate,16280,Slim Ferchichi,2025-04-14,84,3
320,Microsoft Azure Administrator,16307,Mehdi Ben Ahmed,2025-01-11,82,3
321,Google Cloud Professional Cloud Architect,16219,Karim Laabidi,2024-12-11,84,5
322,Scrum Master Certified,16225,Sonia Bouzid,2025-05-28,89,5
323,Project Management Professional (PMP),16280,Slim Ferchichi,2025-01-10,85,4
324,Certified Information Systems Security Professional (CISSP),16352,Yasmine Ferjani,2025-05-22,98,4
325,Data Science avec Python,16244,Zeineb Neffati,2025-04-09,106,4
326,Blockchain pour les entreprises,16318,Emad Horchani,2025-02-01,72,3
327,Intelligence Artificielle pour managers,16346,Youssef Ferchichi,2025-05-26,80,3
328,Cybersécurité opérationnelle,16277,Karim Daoud,2024-12-29,79,5
