ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
13244,16204,Test Apprenant,Formation Test - Développement Web Avancé,4,3,3,4,5,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
13245,16204,Test Apprenant,Formation Test - Développement Web Avancé,5,3,4,4,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13246,16204,Test Apprenant,Formation Test - Développement Web Avancé,3,4,3,5,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13247,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,5,5,4,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13248,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,4,5,5,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13249,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,3,5,5,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
13250,16204,Test Apprenant,Formation Test - Développement Web Avancé,5,5,5,4,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
13251,16204,Test Apprenant,Formation Test - Développement Web Avancé,4,4,5,3,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13252,16204,Test Apprenant,Formation Test - Développement Web Avancé,3,5,3,5,5,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
13253,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,4,4,4,4,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
13254,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,4,4,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13255,16204,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,5,3,4,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
13256,16883,Maher Hassen,ITIL 4 Foundation - Gestion des Services IT,3,3,3,3,5,3,"Contenu bien structuré, formateur compétent."
13257,17282,Moncef Gasmi,ITIL 4 Foundation - Gestion des Services IT,3,4,5,4,5,3,"Contenu bien structuré, formateur compétent."
13258,16933,Nesrine Karray,ITIL 4 Foundation - Gestion des Services IT,4,4,3,4,3,4,Formation très intéressante et enrichissante.
13259,16955,Latifa Fkih,ITIL 4 Foundation - Gestion des Services IT,3,5,3,4,3,4,Formation très intéressante et enrichissante.
13260,16952,Makram Sellami,ITIL 4 Foundation - Gestion des Services IT,4,3,4,3,5,4,"Contenu bien structuré, formateur compétent."
13261,16921,Salah Karray,ITIL 4 Foundation - Gestion des Services IT,5,3,3,4,5,3,Formation très intéressante et enrichissante.
13262,17033,Takwa Bouhamed,ITIL 4 Foundation - Gestion des Services IT,4,5,3,3,5,4,Formation très intéressante et enrichissante.
13263,16990,Khadija Dali,ITIL 4 Foundation - Gestion des Services IT,3,4,3,3,4,3,"Contenu bien structuré, formateur compétent."
13264,16960,Besma Ben Ahmed,ITIL 4 Foundation - Gestion des Services IT,5,5,5,5,5,5,Formation très intéressante et enrichissante.
13265,16903,Amel Nasri,ITIL 4 Foundation - Gestion des Services IT,3,3,5,3,4,4,Formation très intéressante et enrichissante.
13266,16879,Jihene Bouslama,ITIL 4 Foundation - Gestion des Services IT,5,4,3,5,5,3,Formation très intéressante et enrichissante.
13267,16984,Wael Hajji,ITIL 4 Foundation - Gestion des Services IT,3,3,5,4,4,5,"Contenu bien structuré, formateur compétent."
13268,16927,Chiraz Chihaoui,ITIL 4 Foundation - Gestion des Services IT,3,5,3,4,3,3,Formation très intéressante et enrichissante.
13269,16938,Sabrine Derbali,ITIL 4 Foundation - Gestion des Services IT,5,3,3,3,3,3,"Contenu bien structuré, formateur compétent."
13270,16883,Maher Hassen,ITIL 4 Foundation - Gestion des Services IT,4,3,5,3,4,3,"Contenu bien structuré, formateur compétent."
13271,17282,Moncef Gasmi,ITIL 4 Foundation - Gestion des Services IT,4,3,5,4,4,4,"Contenu bien structuré, formateur compétent."
13272,16962,Fadia Nasri,ITIL 4 Foundation - Gestion des Services IT,3,5,4,4,5,4,"Contenu bien structuré, formateur compétent."
13273,16933,Nesrine Karray,ITIL 4 Foundation - Gestion des Services IT,3,4,3,4,3,3,Formation très intéressante et enrichissante.
13274,16955,Latifa Fkih,ITIL 4 Foundation - Gestion des Services IT,5,4,4,3,5,4,"Contenu bien structuré, formateur compétent."
13275,16952,Makram Sellami,ITIL 4 Foundation - Gestion des Services IT,4,3,3,3,3,4,"Contenu bien structuré, formateur compétent."
13276,17007,Sofiane Jebali,ITIL 4 Foundation - Gestion des Services IT,4,5,3,5,4,4,Formation très intéressante et enrichissante.
13277,17033,Takwa Bouhamed,ITIL 4 Foundation - Gestion des Services IT,4,4,5,3,4,3,"Contenu bien structuré, formateur compétent."
13278,17042,Ahlem Marzouki,ITIL 4 Foundation - Gestion des Services IT,3,5,5,4,4,3,"Contenu bien structuré, formateur compétent."
