ID,ID Utilisateur,Nom Utilisateur,Email Utilisateur,ID Formation,Titre Formation,Date Formation,Date Achat
14595,16204,Test Apprenant,testapprenant25@gmail.com,310,Formation Test - Développement Web Avancé,2025-05-31,2025-05-25
14596,16204,Test Apprenant,testapprenant25@gmail.com,311,Formation Test - Cybersécurité Fondamentale,2025-04-11,2025-04-09
14597,16204,Test Apprenant,testapprenant25@gmail.com,312,Formation Test - Développement Web Avancé,2025-05-26,2025-05-24
14598,16204,Test Apprenant,testapprenant25@gmail.com,313,Formation Test - Cybersécurité Fondamentale,2025-05-16,2025-05-10
14599,16883,Maher Hassen,maher.hassen687@topnet.tn,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-14
14600,17282,Moncef Gasmi,moncef.gasmi272@yahoo.fr,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-31
14601,16962,Fadia Nasri,fadia.nasri440@topnet.tn,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-22
14602,16933,Nesrine Karray,nesrine.karray242@yahoo.fr,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-21
14603,16966,Youssef Neffati,youssef.neffati679@hotmail.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-08
14604,16877,Lassad Landolsi,lassad.landolsi645@live.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-31
14605,16955,Latifa Fkih,latifa.fkih890@hotmail.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-05
14606,16952,Makram Sellami,makram.sellami488@topnet.tn,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-29
14607,16921,Salah Karray,salah.karray886@outlook.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-12
14608,17007,Sofiane Jebali,sofiane.jebali887@outlook.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-17
14609,17033,Takwa Bouhamed,takwa.bouhamed863@topnet.tn,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-23
14610,16990,Khadija Dali,khadija.dali534@live.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-28
14611,16960,Besma Ben Ahmed,besma.ben.ahmed712@laposte.net,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-03
14612,17042,Ahlem Marzouki,ahlem.marzouki651@live.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-02-01
14613,16905,Fethi Hamza,fethi.hamza906@live.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-03
14614,16903,Amel Nasri,amel.nasri110@outlook.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-28
14615,16866,Bochra Hassen,bochra.hassen777@yahoo.fr,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-10
14616,16879,Jihene Bouslama,jihene.bouslama374@gmail.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-15
14617,16984,Wael Hajji,wael.hajji889@laposte.net,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-26
14618,16927,Chiraz Chihaoui,chiraz.chihaoui151@orange.tn,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-17
14619,17077,Sofiane Chihaoui,sofiane.chihaoui968@gmail.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-17
14620,16938,Sabrine Derbali,sabrine.derbali938@outlook.com,314,ITIL 4 Foundation - Gestion des Services IT,2025-02-02,2025-01-11
14621,17233,Zohra Chihaoui,zohra.chihaoui934@laposte.net,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-17
14622,16540,Hajer Miled,hajer.miled863@hotmail.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-10
14623,16565,Kenza Khlif,kenza.khlif887@topnet.tn,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-14
14624,16485,Khaled Gharbi,khaled.gharbi130@topnet.tn,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-04
14625,16734,Emad Hadj,emad.hadj123@yahoo.fr,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-18
14626,16752,Bassem Jelassi,bassem.jelassi317@outlook.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-14
14627,16737,Karim Khedher,karim.khedher535@laposte.net,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-13
14628,16802,Thouraya Ben Salah,thouraya.ben.salah544@topnet.tn,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-06
14629,16484,Amira Mrad,amira.mrad586@outlook.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-14
14630,16600,Marwan Jemli,marwan.jemli268@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-04
14631,16518,Tarek Khedher,tarek.khedher122@topnet.tn,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-21
14632,16795,Amel Horchani,amel.horchani350@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-24
14633,16541,Omar Chaieb,omar.chaieb488@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-29
14634,16625,Moncef Mansouri,moncef.mansouri465@outlook.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-26
14635,16731,Nesrine Hmida,nesrine.hmida334@gmail.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-11
14636,16765,Tarek Ezzine,tarek.ezzine400@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-08
14637,16507,Hiba Chedly,hiba.chedly179@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-04-25
14638,16608,Khaled Khedher,khaled.khedher615@outlook.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-11
14639,16432,Zeineb Ezzine,zeineb.ezzine32@topnet.tn,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-13
14640,16511,Bilel Fourati,bilel.fourati530@live.com,315,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-05-13,2025-05-11
