ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
19665,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-02-15,"Développement web, Cloud computing"
19666,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-04-16,"Gestion de projet, DevOps"
19667,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-08-17,"IT Governance, Formation professionnelle"
19668,Hedi Landolsi,hedi.landolsi484@hotmail.com,formateur,+21629796683,Tunisie,Manouba,1987-06-04,"Analyse de données, Marketing digital, E-commerce"
19669,Adel Chaieb,adel.chaieb852@topnet.tn,formateur,+21693802814,Tunisie,Sousse,1989-03-03,"Technologie, Digital transformation, ITIL, Marketing digital"
19670,Moez Labidi,moez.labidi600@outlook.com,formateur,+21692155565,Tunisie,Sidi Bouzid,1985-02-19,"Ressources humaines, IoT, Intelligence artificielle, Technologie"
19671,Manel Dhouib,manel.dhouib812@hotmail.com,formateur,+21629407128,Tunisie,Sfax,1991-07-23,"Analyse de données, Agile"
19672,Salah Landolsi,salah.landolsi498@outlook.com,formateur,+21699688202,Tunisie,Kasserine,1980-05-12,"Communication, Innovation, Marketing digital, Lean management, ITIL"
19673,Hatem Ben Salah,hatem.ben.salah783@topnet.tn,formateur,+21657720657,Tunisie,Siliana,1961-09-12,"Cloud computing, Audit, Veille technologique"
19674,Nour Neffati,nour.neffati278@hotmail.com,formateur,+21695843999,Tunisie,Bizerte,1967-06-25,"Gestion de projet, Marketing digital, Mentoring, Finance"
19675,Emad Kammoun,emad.kammoun53@orange.tn,formateur,+21626243660,Tunisie,Ariana,1987-08-18,"Veille technologique, Management, Gestion de projet"
19676,Sabrine Limam,sabrine.limam635@live.com,formateur,+21653733985,Tunisie,Sidi Bouzid,1991-09-24,"Analyse de données, Blockchain, Marketing digital"
19677,Ahlem Mabrouk,ahlem.mabrouk484@yahoo.fr,formateur,+21659987525,Tunisie,Ben Arous,1981-11-04,"Management, Gestion de projet"
19678,Ridha Chedly,ridha.chedly384@outlook.com,formateur,+21656252324,Tunisie,Tataouine,1973-04-10,"Cloud computing, Gestion de projet, Leadership, Audit"
19679,Hana Ktari,hana.ktari798@laposte.net,formateur,+21657573145,Tunisie,Mahdia,1981-08-02,"Machine learning, Business intelligence, Agile, Informatique, DevOps, Mentoring"
19680,Yasmine Mansouri,yasmine.mansouri344@outlook.com,formateur,+21698489935,Tunisie,Zaghouan,1990-08-08,"E-commerce, Intelligence artificielle"
19681,Latifa Bouslama,latifa.bouslama703@outlook.com,formateur,+21626568317,Tunisie,Manouba,1989-03-18,"Intelligence artificielle, Stratégie d'entreprise, Certification, Leadership, E-commerce"
19682,Latifa Jelassi,latifa.jelassi693@laposte.net,formateur,+21657726199,Tunisie,Médenine,1988-06-20,"Certification, Leadership, E-commerce, Cybersécurité, Communication"
19683,Dorsaf Gasmi,dorsaf.gasmi991@gmail.com,formateur,+21690704301,Tunisie,Siliana,1987-12-24,"Business intelligence, Digital transformation"
19684,Hiba Gasmi,hiba.gasmi655@yahoo.fr,formateur,+21650618254,Tunisie,Zaghouan,1962-09-03,"Gestion de projet, Ressources humaines, Technologie"
19685,Farah Bouslama,farah.bouslama502@live.com,formateur,+21652737956,Tunisie,Tunis,1963-03-07,"Innovation, Analyse de données"
19686,Ahlem Hamza,ahlem.hamza801@orange.tn,formateur,+21623816563,Tunisie,Mahdia,1992-06-08,"Veille technologique, Cloud computing, Management, Analyse de données, Qualité, Technologie"
19687,Yassine Bouslama,yassine.bouslama216@live.com,formateur,+21656628484,Tunisie,Tozeur,1978-12-21,"Lean management, Innovation"
19688,Amel Jemli,amel.jemli667@live.com,formateur,+21629218676,Tunisie,Jendouba,1991-04-04,"Leadership, Finance"
19689,Hedi Derbali,hedi.derbali880@gmail.com,formateur,+21694831336,Tunisie,Monastir,1977-06-18,"Conseil, Digital transformation, Ressources humaines, Développement web"
19690,Ahmed Bouzid,ahmed.bouzid130@laposte.net,formateur,+21621034204,Tunisie,Nabeul,1982-05-03,"Stratégie d'entreprise, Coaching"
19691,Olfa Jazi,olfa.jazi375@gmail.com,formateur,+21622876274,Tunisie,Bizerte,1983-10-26,"Audit, Finance, Cloud computing"
19692,Manel Ben Salah,manel.ben.salah556@gmail.com,formateur,+21654857172,Tunisie,Sousse,1965-09-08,"Mentoring, Entrepreneuriat"
19693,Ridha Benhassan,ridha.benhassan704@topnet.tn,formateur,+21629758922,Tunisie,Tataouine,1971-08-01,"Cybersécurité, Mentoring"
19694,Ghada Jemli,ghada.jemli618@hotmail.com,formateur,+21695116478,Tunisie,Sidi Bouzid,1989-02-09,"Innovation, Entrepreneuriat, Marketing digital, Développement web, Gestion de projet, Ressources humaines"
19695,Emna Ezzine,emna.ezzine460@orange.tn,formateur,+21629447357,Tunisie,Gafsa,1992-12-20,"Ressources humaines, Mentoring, Innovation, Cloud computing"
19696,Mehdi Jemli,mehdi.jemli898@laposte.net,formateur,+21623243841,Tunisie,Ben Arous,1987-08-21,"Formation professionnelle, Marketing digital, Cloud computing, DevOps, Coaching"
19697,Maroua Sellami,maroua.sellami426@orange.tn,formateur,+21621333439,Tunisie,Tozeur,1968-04-03,"Informatique, Audit"
19698,Sami Miled,sami.miled16@topnet.tn,formateur,+21622730691,Tunisie,Kairouan,1971-08-12,"Cybersécurité, Ressources humaines"
19699,Dorra Bouaziz,dorra.bouaziz143@gmail.com,formateur,+21621590113,Tunisie,Tataouine,1974-01-17,"Ressources humaines, Blockchain, Leadership"
19700,Yassine Landolsi,yassine.landolsi729@yahoo.fr,formateur,+21692308024,Tunisie,Sidi Bouzid,1962-09-13,"Leadership, Intelligence artificielle, Blockchain, Innovation, Machine learning, Développement web"
19701,Fadia Labidi,fadia.labidi207@hotmail.com,formateur,+21621010154,Tunisie,Jendouba,1965-11-17,"Audit, Cybersécurité, Ressources humaines, Veille technologique, Qualité"
19702,Amine Ktari,amine.ktari595@orange.tn,formateur,+21652617687,Tunisie,Mahdia,1981-10-02,"Cloud computing, Business intelligence, Coaching, Conseil"
19703,Besma Hadj,besma.hadj72@topnet.tn,formateur,+21692079297,Tunisie,Ben Arous,1965-01-12,"Communication, Mentoring, Agile, Informatique"
19704,Fares Meddeb,fares.meddeb788@gmail.com,formateur,+21659373842,Tunisie,Bizerte,1963-12-02,"Cybersécurité, Gestion de projet, Agile"
19705,Sami Jemli,sami.jemli839@live.com,formateur,+21628133499,Tunisie,Nabeul,1963-01-23,"Communication, Intelligence artificielle, Agile"
19706,Yosra Jazi,yosra.jazi602@yahoo.fr,formateur,+21696404153,Tunisie,Mahdia,1967-07-02,"Informatique, Développement web, Analyse de données, Intelligence artificielle"
19707,Noureddine Chihaoui,noureddine.chihaoui581@topnet.tn,formateur,+21698119242,Tunisie,Gabès,1976-04-24,"Leadership, Digital transformation, IoT"
19708,Thouraya Mansouri,thouraya.mansouri54@topnet.tn,formateur,+21623052525,Tunisie,Kébili,1975-03-24,"DevOps, E-commerce"
19709,Sabrine Gabsi,sabrine.gabsi536@topnet.tn,formateur,+21698644228,Tunisie,Mahdia,1962-02-16,"Agile, Ressources humaines, Marketing digital, Lean management"
19710,Karim Jelassi,karim.jelassi88@topnet.tn,formateur,+21626236529,Tunisie,Le Kef,1975-11-05,"Technologie, DevOps, Ressources humaines, Développement web"
19711,Dorsaf Miled,dorsaf.miled743@orange.tn,formateur,+21621066473,Tunisie,Sousse,1981-07-07,"Mentoring, Stratégie d'entreprise, Audit, Blockchain, Conseil, Entrepreneuriat"
19712,Myriam Feriani,myriam.feriani813@gmail.com,formateur,+21621696247,Tunisie,Kairouan,1972-11-04,"Certification, Finance, Blockchain, ITIL"
19713,Ridha Hamza,ridha.hamza568@outlook.com,formateur,+21624633300,Tunisie,Nabeul,1994-09-13,"Coaching, IoT"
19714,Dorra Kammoun,dorra.kammoun819@live.com,formateur,+21695723916,Tunisie,Tunis,1995-01-13,"Formation professionnelle, ITIL, Certification, Machine learning, Qualité, Communication"
19715,Hatem Ghali,hatem.ghali283@orange.tn,formateur,+21691883164,Tunisie,Sidi Bouzid,1995-11-17,"Marketing digital, Communication"
19716,Karima Gabsi,karima.gabsi846@yahoo.fr,formateur,+21693213131,Tunisie,Monastir,1982-03-14,"Leadership, Coaching, Lean management, Blockchain, Marketing digital, Veille technologique"
19717,Lassad Ghali,lassad.ghali448@laposte.net,formateur,+21620491033,Tunisie,Béja,1970-10-03,"Intelligence artificielle, Cloud computing, Audit, Digital transformation"
19718,Bassem Neffati,bassem.neffati113@gmail.com,formateur,+21692936292,Tunisie,Mahdia,1990-05-27,"Finance, Communication"
19719,Ahlem Jemli,ahlem.jemli802@live.com,formateur,+21624820460,Tunisie,Tunis,1960-03-11,"Analyse de données, Mentoring"
19720,Fadia Maaloul,fadia.maaloul725@yahoo.fr,formateur,+21628751921,Tunisie,Gafsa,1986-10-05,"Qualité, Lean management, Marketing digital, ITIL, Cybersécurité"
19721,Zohra Dhouib,zohra.dhouib750@hotmail.com,formateur,+21621786268,Tunisie,Sfax,1961-10-19,"Veille technologique, Formation professionnelle, E-commerce, Certification, Gestion de projet, Leadership"
19722,Karima Karray,karima.karray79@outlook.com,formateur,+21699024855,Tunisie,Bizerte,1991-02-22,"Communication, Audit, Mentoring"
19723,Taoufik Fkih,taoufik.fkih393@laposte.net,formateur,+21654289171,Tunisie,Bizerte,1968-11-15,"Qualité, Finance, Stratégie d'entreprise, Conseil, Agile"
19724,Manel Marzouki,manel.marzouki876@gmail.com,formateur,+21622888539,Tunisie,Ben Arous,1989-06-26,"Coaching, Stratégie d'entreprise, Veille technologique, Entrepreneuriat, Audit, DevOps"
19725,Noureddine Bouslama,noureddine.bouslama73@hotmail.com,formateur,+21629801264,Tunisie,Gabès,1970-03-04,"Digital transformation, Entrepreneuriat, Leadership"
19726,Nader Mrad,nader.mrad695@outlook.com,formateur,+21625371630,Tunisie,Médenine,1968-06-08,"Cybersécurité, Lean management"
19727,Wael Nabli,wael.nabli14@live.com,formateur,+21622847345,Tunisie,Kairouan,1969-12-19,"Gestion de projet, Technologie, Agile"
19728,Emna Hachicha,emna.hachicha514@outlook.com,formateur,+21698191712,Tunisie,Zaghouan,1967-09-11,"Cloud computing, Développement web, Business intelligence, Machine learning, Technologie, Formation professionnelle"
19729,Najoua Dridi,najoua.dridi399@laposte.net,formateur,+21690828915,Tunisie,Sousse,1988-02-14,"Conseil, Finance"
19730,Emna Guesmi,emna.guesmi233@yahoo.fr,formateur,+21650708173,Tunisie,Jendouba,1977-07-15,"Business intelligence, Entrepreneuriat, E-commerce"
19731,Samir Jemli,samir.jemli998@orange.tn,formateur,+21694924894,Tunisie,Tataouine,1974-02-26,"Gestion de projet, Entrepreneuriat, Technologie"
19732,Zeineb Fkih,zeineb.fkih906@gmail.com,formateur,+21656330529,Tunisie,Tunis,1985-08-21,"Coaching, Cybersécurité, Leadership, Technologie, Digital transformation, Qualité"
19733,Rania Meddeb,rania.meddeb320@yahoo.fr,formateur,+21625586173,Tunisie,Kasserine,1979-12-21,"Formation professionnelle, Coaching, Développement web, Stratégie d'entreprise, Analyse de données, Informatique"
19734,Thouraya Mabrouk,thouraya.mabrouk870@orange.tn,formateur,+21659687267,Tunisie,Tunis,1971-08-19,"E-commerce, Technologie, Coaching, Machine learning, Formation professionnelle"
19735,Taoufik Marzouki,taoufik.marzouki579@laposte.net,formateur,+21653635701,Tunisie,Gabès,1979-05-06,"Coaching, Cloud computing, Business intelligence"
19736,Wided Bouzid,wided.bouzid379@yahoo.fr,formateur,+21692250020,Tunisie,Gabès,1986-04-21,"Business intelligence, Finance, Innovation, Cybersécurité"
19737,Yassine Mejri,yassine.mejri787@topnet.tn,formateur,+21657694421,Tunisie,Kasserine,1993-12-26,"Audit, Marketing digital, Stratégie d'entreprise, Communication, E-commerce, ITIL"
19738,Farouk Benhassan,farouk.benhassan294@yahoo.fr,formateur,+21691075940,Tunisie,Ariana,1991-08-05,"Management, Qualité, Blockchain, Gestion de projet, Intelligence artificielle"
19739,Wassim Neffati,wassim.neffati671@orange.tn,formateur,+21620373329,Tunisie,Gafsa,1963-12-11,"Finance, Ressources humaines, Mentoring, Lean management, Communication"
19740,Amira Mahjoub,amira.mahjoub100@outlook.com,formateur,+21692149820,Tunisie,Manouba,1982-03-16,"Marketing digital, Développement web, Technologie"
19741,Ridha Mrad,ridha.mrad455@topnet.tn,formateur,+21620297612,Tunisie,Kébili,1969-05-01,"Leadership, Qualité, Lean management, Machine learning, Entrepreneuriat"
19742,Rania Guizani,rania.guizani522@hotmail.com,formateur,+21690133566,Tunisie,Kasserine,1964-02-26,"Innovation, Technologie, Ressources humaines"
19743,Yasmine Landolsi,yasmine.landolsi752@outlook.com,formateur,+21626973294,Tunisie,Zaghouan,1962-11-01,"Intelligence artificielle, Machine learning, ITIL, Gestion de projet, Ressources humaines, Certification"
19744,Rania Ben Ahmed,rania.ben.ahmed208@live.com,formateur,+21693747442,Tunisie,Sidi Bouzid,1981-06-01,"IoT, Développement web, Gestion de projet, ITIL, Lean management, Veille technologique"
19745,Besma Nabli,besma.nabli716@laposte.net,formateur,+21624274107,Tunisie,Sidi Bouzid,1990-11-04,"DevOps, Intelligence artificielle, Communication, Digital transformation, Business intelligence"
19746,Karima Ghanmi,karima.ghanmi891@outlook.com,formateur,+21699196256,Tunisie,Tozeur,1970-01-21,"ITIL, Digital transformation, Entrepreneuriat, Certification, Business intelligence, Veille technologique"
19747,Wided Nabli,wided.nabli210@orange.tn,formateur,+21699403951,Tunisie,Bizerte,1970-10-19,"Leadership, Conseil, Marketing digital, Machine learning"
19748,Moncef Hmida,moncef.hmida835@topnet.tn,formateur,+21620650308,Tunisie,Jendouba,1977-01-31,"Communication, IoT, Business intelligence"
19749,Ikram Labidi,ikram.labidi927@live.com,formateur,+21693411764,Tunisie,Médenine,1965-02-20,"E-commerce, Marketing digital, Communication, Formation professionnelle, Digital transformation"
