ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
21790,Myriam Hadj,myriam.hadj387@orange.tn,apprenant,+21697016819,Tunisie,Kébili,2006-12-12,"Intelligence artificielle, ITIL, Communication, Cloud computing, Formation professionnelle"
21791,Besma Khedher,besma.khedher626@hotmail.com,apprenant,+21621349917,Tunisie,Sidi Bouzid,2003-12-27,"Leadership, Ressources humaines, Technologie"
21792,Wassim Mabrouk,wassim.mabrouk731@topnet.tn,apprenant,+21628233165,Tunisie,Sidi Bouzid,1990-06-13,"Qualité, Formation professionnelle, Communication, Digital transformation, Stratégie d'entreprise, Business intelligence"
21793,Zohra Chaieb,zohra.chaieb909@orange.tn,apprenant,+21623745806,Tunisie,Kairouan,1986-03-21,"IoT, Leadership, Management"
21794,Ghada Dridi,ghada.dridi482@laposte.net,apprenant,+21623846497,Tunisie,Bizerte,1999-08-02,"Lean management, Digital transformation"
21795,Adel Jelassi,adel.jelassi5@orange.tn,apprenant,+21628195924,Tunisie,Manouba,1993-03-05,"Management, IoT, Leadership, E-commerce"
21796,Ali Sellami,ali.sellami886@hotmail.com,apprenant,+21620860963,Tunisie,Mahdia,2002-03-31,"Intelligence artificielle, Mentoring, ITIL, Agile"
21797,Wassim Mansouri,wassim.mansouri149@hotmail.com,apprenant,+21696887766,Tunisie,Kairouan,1996-01-27,"Finance, Gestion de projet"
21798,Lamia Gasmi,lamia.gasmi181@yahoo.fr,apprenant,+21621620794,Tunisie,Sfax,2000-06-12,"Ressources humaines, Cybersécurité, Intelligence artificielle, Stratégie d'entreprise, Innovation"
21799,Hichem Gasmi,hichem.gasmi228@topnet.tn,apprenant,+21655443590,Tunisie,Mahdia,1999-05-12,"Lean management, IoT, Communication, Formation professionnelle, Blockchain, Innovation"
21800,Nesrine Jemli,nesrine.jemli17@topnet.tn,apprenant,+21696110600,Tunisie,Sousse,1987-06-13,"Business intelligence, Lean management, Intelligence artificielle"
21801,Omar Ktari,omar.ktari981@yahoo.fr,apprenant,+21699785402,Tunisie,Sidi Bouzid,2003-05-22,"Agile, Informatique, Conseil, Business intelligence, Cloud computing, Lean management"
21802,Moez Derbali,moez.derbali976@orange.tn,apprenant,+21620731717,Tunisie,Nabeul,1988-05-22,"Gestion de projet, Ressources humaines, Blockchain, Intelligence artificielle, Leadership, Conseil"
21803,Rim Sellami,rim.sellami280@hotmail.com,apprenant,+21692143025,Tunisie,Ben Arous,2004-01-14,"Informatique, DevOps, Cybersécurité, Développement web, Coaching"
21804,Yosra Hachicha,yosra.hachicha423@outlook.com,apprenant,+21652630434,Tunisie,Tozeur,1988-12-07,"Finance, Coaching, E-commerce, Audit, Qualité"
21805,Mariam Meddeb,mariam.meddeb313@topnet.tn,apprenant,+21624926640,Tunisie,Béja,1991-07-13,"Qualité, Intelligence artificielle, Agile, E-commerce, Analyse de données, Gestion de projet"
21806,Chiraz Ghali,chiraz.ghali813@topnet.tn,apprenant,+21653449873,Tunisie,Médenine,1998-01-20,"Communication, Audit, Analyse de données, Conseil"
21807,Amira Louati,amira.louati916@live.com,apprenant,+21620415300,Tunisie,Tunis,1986-08-24,"Certification, Mentoring, Informatique, Leadership, Gestion de projet"
21808,Mariam Ben Salah,mariam.ben.salah423@hotmail.com,apprenant,+21656365743,Tunisie,Jendouba,1993-03-23,"Entrepreneuriat, Développement web, Cybersécurité, Informatique"
21809,Ali Ghanmi,ali.ghanmi393@orange.tn,apprenant,+21695767561,Tunisie,Bizerte,1996-06-20,"Développement web, Leadership, Technologie"
21810,Sofiane Ferjani,sofiane.ferjani422@yahoo.fr,apprenant,+21628082119,Tunisie,Médenine,1991-08-03,"Technologie, Stratégie d'entreprise, Communication, Blockchain, DevOps, ITIL"
21811,Salma Laabidi,salma.laabidi17@hotmail.com,apprenant,+21629860526,Tunisie,Gabès,1986-09-07,"Cybersécurité, Stratégie d'entreprise, Qualité"
21812,Ahlem Nasri,ahlem.nasri479@hotmail.com,apprenant,+21623530888,Tunisie,Sousse,1997-01-21,"Ressources humaines, Informatique"
21813,Rania Ben Youssef,rania.ben.youssef481@gmail.com,apprenant,+21651944346,Tunisie,Sfax,1994-05-31,"Audit, Innovation, Formation professionnelle, Analyse de données, E-commerce"
21814,Sofiane Fourati,sofiane.fourati199@orange.tn,apprenant,+21628141827,Tunisie,Sfax,1995-05-09,"E-commerce, Digital transformation"
21815,Ahlem Jazi,ahlem.jazi473@outlook.com,apprenant,+21659959563,Tunisie,Sidi Bouzid,2005-10-03,"Business intelligence, Leadership, Digital transformation"
21816,Wafa Kchir,wafa.kchir836@yahoo.fr,apprenant,+21627386759,Tunisie,Mahdia,2006-04-17,"Développement web, Gestion de projet, Certification, Formation professionnelle"
21817,Farah Landolsi,farah.landolsi805@yahoo.fr,apprenant,+21624253529,Tunisie,Béja,2000-11-13,"Leadership, Certification, Qualité, Lean management, Communication"
21818,Sabrine Hamdi,sabrine.hamdi968@gmail.com,apprenant,+21624565969,Tunisie,Ben Arous,1999-01-21,"Business intelligence, Marketing digital, Veille technologique, Management"
21819,Myriam Karray,myriam.karray729@live.com,apprenant,+21659594450,Tunisie,Kébili,2006-12-25,"Lean management, Innovation, Cloud computing, Qualité, Mentoring, Business intelligence"
21820,Amel Gasmi,amel.gasmi338@laposte.net,apprenant,+21695289926,Tunisie,Monastir,2001-08-22,"Cloud computing, Gestion de projet"
21821,Rim Gabsi,rim.gabsi125@gmail.com,apprenant,+21696272066,Tunisie,Zaghouan,1998-09-01,"Gestion de projet, Management, DevOps, E-commerce"
21822,Noureddine Guizani,noureddine.guizani317@gmail.com,apprenant,+21623198048,Tunisie,Bizerte,1998-05-06,"Marketing digital, Intelligence artificielle"
21823,Ali Marzouki,ali.marzouki667@topnet.tn,apprenant,+21658779948,Tunisie,Béja,1996-10-04,"Marketing digital, Digital transformation, Innovation"
21824,Salma Marzouki,salma.marzouki898@laposte.net,apprenant,+21653151346,Tunisie,Kébili,1997-12-16,"Lean management, DevOps"
21825,Manel Gabsi,manel.gabsi69@orange.tn,apprenant,+21624367753,Tunisie,Tozeur,1991-05-10,"Mentoring, Digital transformation"
21826,Khadija Landolsi,khadija.landolsi327@laposte.net,apprenant,+21696033070,Tunisie,Sfax,1998-04-07,"Développement web, Gestion de projet, Leadership, Communication, Cloud computing, Agile"
21827,Mariam Mahjoub,mariam.mahjoub755@gmail.com,apprenant,+21620184950,Tunisie,Médenine,2005-06-11,"DevOps, Communication, Formation professionnelle, Ressources humaines"
21828,Yassine Gabsi,yassine.gabsi401@orange.tn,apprenant,+21694733244,Tunisie,Kairouan,2000-09-08,"Communication, Stratégie d'entreprise, Intelligence artificielle, Blockchain, Développement web"
21829,Moncef Hadj,moncef.hadj895@gmail.com,apprenant,+21699206410,Tunisie,Manouba,1991-05-10,"Business intelligence, Conseil, Audit, Communication, Ressources humaines"
21830,Ahmed Chebbi,ahmed.chebbi830@topnet.tn,apprenant,+21690964346,Tunisie,Jendouba,2002-04-21,"Conseil, Management, Gestion de projet, Communication"
21831,Mariam Gharbi,mariam.gharbi101@outlook.com,apprenant,+21695830718,Tunisie,Sidi Bouzid,2007-10-26,"Blockchain, Formation professionnelle"
21832,Nader Ghanmi,nader.ghanmi850@yahoo.fr,apprenant,+21654720351,Tunisie,Sidi Bouzid,2006-07-09,"Business intelligence, Analyse de données, Innovation, Marketing digital, Agile"
21833,Wassim Rekik,wassim.rekik210@laposte.net,apprenant,+21627992234,Tunisie,Ariana,1997-05-19,"Ressources humaines, Intelligence artificielle, Informatique, Veille technologique, IoT, Management"
21834,Maher Chaabane,maher.chaabane609@laposte.net,apprenant,+21652302753,Tunisie,Siliana,1997-10-20,"Gestion de projet, Cybersécurité, Technologie, Coaching, Informatique"
21835,Wafa Trabelsi,wafa.trabelsi69@orange.tn,apprenant,+21651125363,Tunisie,Sidi Bouzid,1993-12-07,"Agile, Mentoring, Conseil, Gestion de projet, Entrepreneuriat, Blockchain"
21836,Wassim Meddeb,wassim.meddeb230@yahoo.fr,apprenant,+21651467219,Tunisie,Béja,1993-04-03,"Analyse de données, Certification, Leadership, Veille technologique, Développement web, Entrepreneuriat"
21837,Makram Jazi,makram.jazi346@gmail.com,apprenant,+21653675305,Tunisie,Sousse,1995-06-08,"DevOps, Intelligence artificielle"
21838,Maroua Fkih,maroua.fkih310@yahoo.fr,apprenant,+21620711921,Tunisie,Béja,1997-07-03,"Technologie, Gestion de projet"
21839,Wided Hadj,wided.hadj149@laposte.net,apprenant,+21659688897,Tunisie,Gabès,2002-02-15,"Cloud computing, Veille technologique, E-commerce, Communication"
21840,Ines Gasmi,ines.gasmi7@topnet.tn,apprenant,+21693854076,Tunisie,Ariana,1998-09-11,"Mentoring, Cybersécurité, Leadership, E-commerce, Lean management, Stratégie d'entreprise"
21841,Salah Bouhamed,salah.bouhamed470@orange.tn,apprenant,+21690783659,Tunisie,Bizerte,1986-05-17,"Communication, Développement web, Innovation, Gestion de projet, E-commerce, Cloud computing"
21842,Marwan Chebbi,marwan.chebbi466@live.com,apprenant,+21652470810,Tunisie,Kairouan,1997-03-12,"Entrepreneuriat, Machine learning, Blockchain, Conseil, Digital transformation"
21843,Yasmine Fkih,yasmine.fkih341@outlook.com,apprenant,+21652656617,Tunisie,Siliana,2000-09-18,"Formation professionnelle, Agile, Coaching, Qualité, Stratégie d'entreprise"
21844,Samia Ben Ali,samia.ben.ali796@outlook.com,apprenant,+21650291346,Tunisie,Kébili,1999-12-05,"Technologie, Ressources humaines, DevOps, Blockchain, Qualité"
