ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
16544,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,3,4,4,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
16545,20818,Test Apprenant,Formation Test - Développement Web Avancé,5,4,3,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
16546,20818,Test Apprenant,Formation Test - Développement Web Avancé,3,5,4,5,4,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
16547,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,3,4,4,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
16548,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,5,5,5,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
16549,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,5,5,4,5,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
16550,20818,Test Apprenant,Formation Test - Développement Web Avancé,3,4,5,4,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
16551,20818,Test Apprenant,Formation Test - Développement Web Avancé,3,4,5,5,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
16552,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,3,4,3,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
16553,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,4,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
16554,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,4,3,5,4,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
16555,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,3,4,3,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
16556,21127,Amel Ouali,ITIL 4 Foundation - Gestion des Services IT,5,4,3,5,3,3,"Contenu bien structuré, formateur compétent."
16557,21373,Amine Labidi,ITIL 4 Foundation - Gestion des Services IT,4,3,3,4,3,3,"Contenu bien structuré, formateur compétent."
16558,21260,Ghada Chebbi,ITIL 4 Foundation - Gestion des Services IT,5,5,3,4,5,4,Formation très intéressante et enrichissante.
16559,21832,Nader Ghanmi,ITIL 4 Foundation - Gestion des Services IT,5,5,3,5,5,4,"Contenu bien structuré, formateur compétent."
16560,21283,Rami Hajji,ITIL 4 Foundation - Gestion des Services IT,4,3,3,4,3,3,Formation très intéressante et enrichissante.
16561,21174,Bassem Labidi,ITIL 4 Foundation - Gestion des Services IT,5,5,3,4,5,5,"Contenu bien structuré, formateur compétent."
16562,21215,Ghada Ben Ahmed,ITIL 4 Foundation - Gestion des Services IT,5,3,4,3,3,4,"Contenu bien structuré, formateur compétent."
16563,21041,Wided Horchani,ITIL 4 Foundation - Gestion des Services IT,5,4,5,3,4,4,Formation très intéressante et enrichissante.
16564,21054,Farah Chedly,ITIL 4 Foundation - Gestion des Services IT,5,3,3,3,4,5,"Contenu bien structuré, formateur compétent."
16565,21023,Chiraz Fatnassi,ITIL 4 Foundation - Gestion des Services IT,4,4,3,4,5,5,"Contenu bien structuré, formateur compétent."
