ID,ID Utilisateur,Nom Utilisateur,Formation,Compétences Avant (moyenne),Compétences Après (moyenne),Progression (%)
18880,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18881,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18882,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18883,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18884,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18885,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18886,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18887,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18888,20818,Test Apprenant,Formation Test - Développement Web Avancé,4,8,400
18889,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18890,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18891,20818,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,8,400
18892,21127,Amel Ouali,ITIL 4 Foundation - Gestion des Services IT,3.5,6,250
18893,21260,Ghada Chebbi,ITIL 4 Foundation - Gestion des Services IT,3.75,6.5,275
18894,21283,Rami Hajji,ITIL 4 Foundation - Gestion des Services IT,4.75,7.75,300
18895,21174,Bassem Labidi,ITIL 4 Foundation - Gestion des Services IT,2.75,6,325
18896,21215,Ghada Ben Ahmed,ITIL 4 Foundation - Gestion des Services IT,5,8.75,375
18897,21041,Wided Horchani,ITIL 4 Foundation - Gestion des Services IT,4.25,7.25,300
18898,21054,Farah Chedly,ITIL 4 Foundation - Gestion des Services IT,4.25,7.75,350
18899,21288,Chedly Hadj,ITIL 4 Foundation - Gestion des Services IT,2.25,5.25,300
18900,21292,Bilel Hmida,ITIL 4 Foundation - Gestion des Services IT,5,8.75,375
18901,21172,Emad Dhouib,ITIL 4 Foundation - Gestion des Services IT,2.75,4.75,200
18902,21094,Wael Labidi,ITIL 4 Foundation - Gestion des Services IT,3.75,5.75,200
18903,21179,Nader Maaloul,ITIL 4 Foundation - Gestion des Services IT,3.75,6.25,250
18904,20981,Kenza Mestiri,ITIL 4 Foundation - Gestion des Services IT,5.5,8.75,325
18905,21127,Amel Ouali,ITIL 4 Foundation - Gestion des Services IT,4.25,8.25,400
18906,21373,Amine Labidi,ITIL 4 Foundation - Gestion des Services IT,3.5,7.75,425
18907,21832,Nader Ghanmi,ITIL 4 Foundation - Gestion des Services IT,3.75,7.25,350
18908,21283,Rami Hajji,ITIL 4 Foundation - Gestion des Services IT,3,9,600
18909,21174,Bassem Labidi,ITIL 4 Foundation - Gestion des Services IT,4.25,8.25,400
18910,20980,Zied Landolsi,ITIL 4 Foundation - Gestion des Services IT,3.5,7.75,425
18911,21215,Ghada Ben Ahmed,ITIL 4 Foundation - Gestion des Services IT,2.25,8,575
18912,21054,Farah Chedly,ITIL 4 Foundation - Gestion des Services IT,4.75,8.75,400
18913,21288,Chedly Hadj,ITIL 4 Foundation - Gestion des Services IT,4,5.75,175
18914,21292,Bilel Hmida,ITIL 4 Foundation - Gestion des Services IT,5.5,8.75,325
18915,21094,Wael Labidi,ITIL 4 Foundation - Gestion des Services IT,4.5,7.75,325
18916,21179,Nader Maaloul,ITIL 4 Foundation - Gestion des Services IT,4.25,8.75,450
18917,20981,Kenza Mestiri,ITIL 4 Foundation - Gestion des Services IT,1.75,7.75,600
18918,21127,Amel Ouali,ITIL 4 Foundation - Gestion des Services IT,4.25,8.5,425
18919,21767,Myriam Hajji,ITIL 4 Foundation - Gestion des Services IT,3.25,5.5,225
18920,21373,Amine Labidi,ITIL 4 Foundation - Gestion des Services IT,2.75,7.5,475
18921,21260,Ghada Chebbi,ITIL 4 Foundation - Gestion des Services IT,4.5,9.25,475
